,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
389,Dara O'Shea,ie,DF,Burnley,24,1999,32.1,1759,1705,47,34,3,10,11,9,0,0,0,0,1393,7,19,Matches
390,Michael Obafemi,ie,"FW,MF",Burnley,23,2000,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
391,Wilson Odobert,fr,"MF,FW",Burnley,18,2004,23.3,584,567,15,0,3,2,35,2,1,0,1,0,446,2,33,Matches
392,Odeluga Offiah,eng,DF,Brighton,20,2002,1.4,80,70,9,0,0,0,3,9,0,0,0,0,63,1,5,Matches
393,Chiedozie Ogbene,ie,"MF,DF",Luton Town,26,1997,22.2,790,697,91,5,0,2,79,80,0,0,0,0,589,2,47,Matches
394,Angelo Ogbonna,it,DF,West Ham,35,1988,7.1,214,194,20,12,0,2,0,0,0,0,0,0,171,0,2,Matches
395,Michael Olakigbe,eng,"DF,FW",Brentford,19,2004,0.7,40,38,2,1,0,0,7,1,0,0,0,0,27,0,3,Matches
396,Michael Olise,fr,"FW,MF",Crystal Palace,21,2001,14.2,721,605,111,44,7,4,97,10,41,25,10,2,540,5,23,Matches
397,Robin Olsen,se,GK,Aston Villa,33,1990,4.5,203,163,40,13,0,0,0,0,0,0,0,0,165,0,0,Matches
398,Andrew Omobamidele,ie,DF,Nott'ham Forest,21,2002,8.7,310,304,6,5,0,0,0,1,0,0,0,0,271,0,1,Matches
399,Amadou Onana,be,MF,Everton,21,2001,23.2,1036,1017,10,6,6,14,3,1,0,0,0,0,871,9,10,Matches
400,André Onana,cm,GK,Manchester Utd,27,1996,38.0,1521,1277,236,74,1,6,0,0,0,0,0,0,1105,8,2,Matches
401,Ryan One,sct,FW,Sheffield Utd,17,2006,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
402,Tyler Onyango,eng,MF,Everton,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
403,Fred Onyedinma,eng,"DF,MF",Luton Town,26,1996,4.5,135,97,38,1,0,0,13,37,0,0,0,0,91,0,7,Matches
404,Frank Onyeka,ng,MF,Brentford,25,1998,12.9,396,389,6,2,2,0,16,4,0,0,0,0,299,1,13,Matches
405,Divock Origi,be,FW,Nott'ham Forest,28,1995,6.7,144,143,1,1,3,0,13,0,0,0,0,0,92,0,10,Matches
406,Stefan Ortega,de,GK,Manchester City,30,1992,7.1,266,240,26,7,0,0,0,0,0,0,0,0,213,0,1,Matches
407,Ben Osborn,eng,"DF,MF",Sheffield Utd,28,1994,15.2,608,526,77,8,1,1,47,50,12,10,0,0,448,5,15,Matches
408,Gabriel Osho,ng,DF,Luton Town,24,1998,20.5,706,697,8,8,0,1,3,0,0,0,0,0,580,1,3,Matches
409,William Osula,dk,FW,Sheffield Utd,19,2003,8.7,93,90,2,0,0,0,2,0,0,0,0,0,49,1,1,Matches
410,Dango Ouattara,bf,"FW,DF",Bournemouth,21,2002,13.7,558,473,84,8,2,1,36,73,3,0,0,0,371,1,23,Matches
411,David Ozoh,eng,"MF,DF",Crystal Palace,18,2005,1.7,51,51,0,0,0,0,0,0,0,0,0,0,48,0,1,Matches
412,João Palhinha,pt,MF,Fulham,28,1995,30.0,1333,1272,55,52,6,20,5,1,0,0,0,0,1098,6,29,Matches
413,Cole Palmer,eng,"FW,MF",Chelsea,21,2002,29.0,1415,1294,111,23,27,14,81,22,55,24,12,0,1121,10,37,Matches
414,Cole Palmer,eng,MF,Manchester City,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
415,Emerson Palmieri,it,DF,West Ham,28,1994,34.9,1745,1459,280,18,2,5,49,256,6,0,5,0,1421,6,57,Matches
416,Lucas Paquetá,br,"FW,MF",West Ham,25,1997,29.1,1465,1397,60,20,30,17,35,11,0,0,0,0,1082,8,53,Matches
417,Ben Parkinson,eng,FW,Newcastle Utd,18,2005,0.3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
418,Thomas Partey,gh,"MF,DF",Arsenal,30,1993,8.8,636,609,24,14,3,3,2,10,0,0,0,0,570,3,3,Matches
419,Nathan Patterson,sct,DF,Everton,21,2001,11.2,550,439,110,1,1,1,32,109,0,0,0,0,393,1,13,Matches
420,Myles Peart-Harris,eng,"DF,MF",Brentford,20,2002,0.1,10,8,2,0,0,0,1,2,0,0,0,0,6,0,0,Matches
421,Sydie Peck,eng,MF,Sheffield Utd,18,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
422,Facundo Pellistri,uy,"FW,MF",Manchester Utd,21,2001,1.9,79,78,0,0,0,0,4,0,0,0,0,0,60,1,5,Matches
423,Andreas Pereira,br,MF,Fulham,27,1996,29.0,1295,1035,255,67,14,11,220,7,148,49,74,1,912,5,44,Matches
424,Ivan Perišić,hr,FW,Tottenham,34,1989,1.1,76,72,4,1,0,1,13,2,1,1,0,0,53,0,1,Matches
425,Đorđe Petrović,rs,GK,Chelsea,23,1999,22.1,806,629,175,26,0,0,0,0,0,0,0,0,635,2,0,Matches
426,Kalvin Phillips,eng,MF,West Ham,27,1995,3.4,179,170,7,6,1,1,1,1,0,0,0,0,141,2,2,Matches
427,Kalvin Phillips,eng,MF,Manchester City,27,1995,1.0,70,67,3,3,0,0,2,0,0,0,0,0,62,0,1,Matches
428,Jaden Philogene Bidace,eng,FW,Aston Villa,21,2002,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,Matches
429,Jordan Pickford,eng,GK,Everton,29,1994,38.0,1576,1074,496,223,1,5,0,0,0,0,0,0,986,6,0,Matches
430,Ethan Pinnock,jm,DF,Brentford,30,1993,28.0,1432,1374,55,26,0,8,7,24,0,0,0,0,1192,3,13,Matches
431,Nick Pope,eng,GK,Newcastle Utd,31,1992,14.9,399,274,125,30,0,0,0,0,0,0,0,0,307,0,0,Matches
432,Pedro Porro,es,DF,Tottenham,23,1999,34.3,2369,1907,451,56,14,11,198,295,100,36,36,1,1806,11,68,Matches
433,Jarell Quansah,eng,DF,Liverpool,20,2003,13.2,1172,1147,22,16,1,5,0,4,0,0,0,0,1038,3,2,Matches
434,Ionuț Radu,ro,GK,Bournemouth,26,1997,2.0,68,54,14,3,0,0,0,0,0,0,0,0,56,0,0,Matches
435,Jesurun Rak Sakyi,eng,"MF,FW",Crystal Palace,20,2002,1.5,50,50,0,0,0,0,3,0,0,0,0,0,37,0,2,Matches
436,Aaron Ramsdale,eng,GK,Arsenal,25,1998,6.0,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,Matches
437,Aaron Ramsey,eng,"MF,FW",Burnley,20,2003,5.9,151,141,9,1,1,0,2,2,0,0,0,0,118,1,9,Matches
438,Jacob Ramsey,eng,"FW,MF",Aston Villa,22,2001,9.5,322,310,12,1,3,0,11,1,10,3,0,0,257,0,9,Matches
439,Marcus Rashford,eng,FW,Manchester Utd,25,1997,25.2,742,708,26,0,6,4,35,16,3,0,0,0,559,8,18,Matches
440,David Raya,es,GK,Arsenal,27,1995,32.0,1068,898,167,71,0,1,0,0,0,0,0,0,800,3,2,Matches
441,Tim Ream,us,DF,Fulham,35,1987,16.7,1060,1010,49,19,0,8,1,0,0,0,0,0,944,1,9,Matches
442,Nathan Redmond,eng,"FW,MF",Burnley,29,1994,1.6,73,71,0,0,0,1,3,0,0,0,0,0,48,2,1,Matches
443,Harrison Reed,eng,MF,Fulham,28,1995,14.7,748,702,46,23,2,0,19,7,5,2,3,0,627,0,24,Matches
444,Sergio Reguilón,es,DF,Manchester Utd,26,1996,4.6,314,252,60,5,0,1,29,49,6,1,4,0,244,2,7,Matches
445,Sergio Reguilón,es,DF,Brentford,26,1996,12.4,522,428,91,29,1,1,72,35,27,8,11,0,351,3,19,Matches
446,Bobby Reid,jm,FW,Fulham,30,1993,15.8,487,474,12,2,2,1,35,9,1,0,0,0,364,1,16,Matches
447,Gio Reyna,us,"FW,MF",Nott'ham Forest,20,2002,2.6,140,129,9,4,0,0,8,1,4,3,1,0,118,2,3,Matches
448,Rodrigo Ribeiro,pt,"MF,FW",Nott'ham Forest,18,2005,0.2,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
449,Declan Rice,eng,MF,Arsenal,24,1999,35.8,2295,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26,Matches
450,Chris Richards,us,"DF,MF",Crystal Palace,23,2000,23.3,942,902,37,18,1,5,1,14,0,0,0,0,778,3,15,Matches
451,Richarlison,br,FW,Tottenham,26,1997,16.6,392,360,29,3,2,3,14,1,0,0,0,0,267,3,25,Matches
452,Jaïro Riedewald,nl,"MF,FW",Crystal Palace,26,1996,2.6,113,104,7,5,0,0,3,0,2,1,0,1,87,2,3,Matches
453,Matt Ritchie,sct,"FW,MF",Newcastle Utd,33,1989,1.4,93,91,2,0,0,0,7,0,2,1,0,0,70,0,3,Matches
454,Connor Roberts,wls,DF,Burnley,27,1995,9.1,495,406,87,13,0,2,10,74,0,0,0,0,395,2,9,Matches
455,Andrew Robertson,sct,DF,Liverpool,29,1994,18.8,1547,1297,240,41,0,7,184,109,90,34,53,0,1248,10,29,Matches
456,Antonee Robinson,us,DF,Fulham,25,1997,36.3,2054,1736,314,25,1,11,132,289,0,0,0,0,1514,4,68,Matches
457,Jack Robinson,eng,DF,Sheffield Utd,29,1993,32.1,1254,1044,205,32,1,7,12,173,0,0,0,0,894,5,21,Matches
458,Rodri,es,MF,Manchester City,27,1996,32.6,3656,3572,79,69,15,36,12,6,3,0,0,0,3365,5,22,Matches
459,Jay Rodriguez,eng,FW,Burnley,34,1989,9.1,216,216,0,0,1,4,1,0,0,0,0,0,142,0,4,Matches
460,Mads Roerslev,dk,DF,Brentford,24,1999,22.1,742,664,74,3,1,3,62,71,0,0,0,0,496,4,29,Matches
461,Morgan Rogers,eng,"MF,FW",Aston Villa,21,2002,7.1,195,182,10,0,2,2,2,2,0,0,0,0,147,3,7,Matches
462,Cristian Romero,ar,DF,Tottenham,25,1998,31.0,2606,2456,147,123,6,4,3,14,0,0,0,0,2390,3,24,Matches
463,Joe Rothwell,eng,MF,Bournemouth,28,1995,4.3,216,194,20,11,0,1,12,0,8,6,0,1,179,2,3,Matches
464,Pelly Ruddock Mpanzu,cd,MF,Luton Town,30,1993,12.2,364,338,24,7,0,7,11,8,2,0,0,0,268,2,13,Matches
465,José Sá,pt,GK,Wolves,30,1993,33.7,1097,771,323,70,0,1,0,0,0,0,0,0,720,3,1,Matches
466,Dominic Sadi,eng,FW,Bournemouth,19,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
467,Bukayo Saka,eng,FW,Arsenal,21,2001,32.4,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50,Matches
468,Mohamed Salah,eg,FW,Liverpool,31,1992,28.2,1010,968,28,4,18,3,41,20,0,0,0,0,737,14,42,Matches
469,William Saliba,fr,DF,Arsenal,22,2001,38.0,2851,2794,55,33,3,2,3,7,0,0,0,0,2635,2,11,Matches
470,Albert Sambi Lokonga,be,MF,Luton Town,23,1999,14.5,766,694,67,28,5,11,13,8,2,1,1,0,669,5,3,Matches
471,Davinson Sánchez,co,DF,Tottenham,27,1996,0.9,75,73,2,1,0,0,0,1,0,0,0,0,68,0,0,Matches
472,Robert Sánchez,es,GK,Chelsea,25,1997,15.9,609,487,120,29,0,2,0,0,0,0,0,0,500,2,0,Matches
473,Jadon Sancho,eng,"FW,MF",Manchester Utd,23,2000,0.9,43,41,1,0,0,0,1,0,1,0,0,0,34,1,0,Matches
474,Ibrahim Sangaré,ci,MF,Nott'ham Forest,25,1997,11.5,425,414,8,7,3,6,2,1,0,0,0,0,339,3,16,Matches
475,Andrey Santos,br,MF,Nott'ham Forest,19,2004,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
476,Pablo Sarabia,es,"MF,FW",Wolves,31,1992,19.4,976,837,130,34,9,7,131,7,71,37,19,10,684,9,44,Matches
477,Dane Scarlett,eng,FW,Tottenham,19,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
478,Kevin Schade,de,"FW,MF",Brentford,21,2001,3.7,95,93,0,0,1,0,5,0,0,0,0,0,58,2,4,Matches
479,Fabian Schär,ch,DF,Newcastle Utd,31,1991,33.9,2128,2044,76,67,6,41,8,6,0,0,0,0,1762,8,15,Matches
480,Jeffrey Schlupp,gh,"FW,MF",Crystal Palace,30,1992,15.0,334,329,4,2,0,0,10,0,0,0,0,0,247,1,10,Matches
481,Alex Scott,eng,MF,Bournemouth,19,2003,11.3,474,429,43,10,2,4,36,4,26,22,1,0,361,2,10,Matches
482,Matz Sels,be,GK,Nott'ham Forest,31,1992,16.0,378,254,122,29,0,0,0,0,0,0,0,0,263,2,0,Matches
483,Nélson Semedo,pt,"DF,MF",Wolves,29,1993,34.3,1849,1571,273,25,2,9,80,248,0,0,0,0,1474,5,42,Matches
484,Antoine Semenyo,gh,FW,Bournemouth,23,2000,23.4,647,632,11,0,5,3,45,11,0,0,0,0,452,4,26,Matches
485,Marcos Senesi,ar,DF,Bournemouth,26,1997,24.9,1297,1244,47,40,4,6,25,7,0,0,0,0,1005,6,17,Matches
486,Luke Shaw,eng,DF,Manchester Utd,28,1995,10.7,648,540,106,17,2,3,33,62,19,3,12,0,531,2,10,Matches
487,James Shea,eng,GK,Luton Town,32,1991,0.2,9,5,4,1,0,0,0,0,0,0,0,0,6,0,0,Matches
488,Bernardo Silva,pt,"MF,FW",Manchester City,28,1994,28.6,1936,1831,99,40,2,7,83,23,21,10,0,0,1671,6,37,Matches
489,Fábio Silva,pt,FW,Wolves,21,2002,2.9,76,72,4,1,1,0,0,1,0,0,0,0,61,0,0,Matches
490,Thiago Silva,br,DF,Chelsea,38,1984,28.1,2287,2198,88,60,0,9,4,3,0,0,0,0,2166,1,6,Matches
491,Luis Sinisterra,co,"FW,MF",Bournemouth,24,1999,7.8,292,292,0,0,1,5,11,0,0,0,0,0,226,0,16,Matches
492,Oliver Skipp,eng,"MF,DF",Tottenham,22,2000,7.9,383,366,16,8,1,0,1,8,0,0,0,0,351,1,2,Matches
493,Adam Smith,eng,DF,Bournemouth,32,1991,23.9,1025,793,229,14,3,1,39,215,0,0,0,0,782,3,26,Matches
494,Emile Smith Rowe,eng,MF,Arsenal,23,2000,3.9,213,207,6,3,0,1,1,1,1,0,0,0,188,0,2,Matches
495,Cédric Soares,pt,DF,Arsenal,31,1991,0.7,69,61,8,2,0,0,4,6,0,0,0,0,60,0,1,Matches
496,Dominic Solanke,eng,FW,Bournemouth,25,1997,36.9,544,485,58,0,1,1,6,4,0,0,0,0,400,1,30,Matches
497,Manor Solomon,il,FW,Tottenham,24,1999,2.2,90,90,0,0,1,0,5,0,0,0,0,0,78,0,1,Matches
498,Tomáš Souček,cz,MF,West Ham,28,1995,31.9,962,949,7,2,2,9,6,3,0,0,0,0,722,6,27,Matches
499,Vinicius Souza,br,MF,Sheffield Utd,24,1999,29.6,994,978,13,10,0,8,10,2,0,0,0,0,790,3,30,Matches
500,Jason Steele,eng,GK,Brighton,32,1990,17.0,673,607,64,10,0,1,0,0,0,0,0,0,570,2,0,Matches
501,Raheem Sterling,eng,"FW,MF",Chelsea,28,1994,22.0,728,716,7,0,11,1,59,6,0,0,0,0,538,5,34,Matches
502,John Stones,eng,"DF,MF",Manchester City,29,1994,11.8,839,824,15,9,0,7,5,3,0,0,0,0,781,0,6,Matches
503,Thomas Strakosha,al,GK,Brentford,28,1995,1.5,71,45,26,11,0,0,0,0,0,0,0,0,52,0,0,Matches
504,Dominik Szoboszlai,hu,MF,Liverpool,22,2000,23.4,1550,1376,167,34,3,16,113,31,66,24,28,2,1280,7,24,Matches
505,Matt Targett,eng,DF,Newcastle Utd,27,1995,0.9,41,38,3,0,0,0,0,3,0,0,0,0,36,0,1,Matches
506,James Tarkowski,eng,DF,Everton,30,1992,38.0,1550,1485,52,45,1,22,6,6,0,0,0,0,1195,13,10,Matches
507,Jimi Tauriainen,eng,FW,Chelsea,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
508,Nuno Tavares,pt,DF,Nott'ham Forest,23,2000,5.1,274,225,48,8,0,4,16,39,1,0,1,0,201,1,7,Matches
509,Marcus Tavernier,eng,FW,Bournemouth,24,1999,23.5,920,790,121,25,3,8,116,35,59,45,2,1,658,9,27,Matches
510,Charlie Taylor,eng,DF,Burnley,29,1993,25.9,1312,1099,206,14,0,7,71,192,0,0,0,0,995,7,28,Matches
511,Kenny Tete,nl,DF,Fulham,27,1995,9.6,523,438,84,7,1,0,23,77,0,0,0,0,418,1,13,Matches
512,Luke Thomas,eng,DF,Sheffield Utd,22,2001,10.2,319,287,32,1,0,0,13,31,0,0,0,0,234,0,14,Matches
513,Youri Tielemans,be,"MF,FW",Aston Villa,26,1997,18.0,949,891,54,14,17,3,31,7,18,12,3,0,789,4,21,Matches
514,Jurriën Timber,nl,DF,Arsenal,22,2001,0.8,74,67,7,1,0,1,1,6,0,0,0,0,66,0,2,Matches
515,Harry Toffolo,eng,DF,Nott'ham Forest,27,1995,16.2,590,465,125,15,0,0,47,97,13,11,1,0,424,0,15,Matches
516,Takehiro Tomiyasu,jp,DF,Arsenal,24,1998,12.8,697,615,80,7,2,2,14,73,0,0,0,0,574,2,11,Matches
517,James Tomkins,eng,DF,Crystal Palace,34,1989,0.1,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0,Matches
518,Sandro Tonali,it,MF,Newcastle Utd,23,2000,4.9,280,276,4,0,0,5,11,2,2,0,2,0,241,0,3,Matches
519,Ivan Toney,eng,FW,Brentford,27,1996,16.1,426,395,23,8,5,0,22,8,2,0,0,0,228,8,22,Matches
520,Pau Torres,es,DF,Aston Villa,26,1997,27.4,1788,1663,120,79,1,26,8,5,0,0,0,0,1562,5,9,Matches
521,Andros Townsend,eng,"MF,FW",Luton Town,32,1991,13.4,432,402,28,4,1,10,74,7,8,7,0,0,304,2,22,Matches
522,James Trafford,eng,GK,Burnley,20,2002,28.0,1541,1203,327,129,1,5,0,0,0,0,0,0,1009,11,5,Matches
523,Adama Traoré,es,"FW,MF",Fulham,27,1996,4.2,139,137,2,0,0,1,26,2,0,0,0,0,97,0,7,Matches
524,Bénie Traoré,ci,"FW,MF",Sheffield Utd,20,2002,4.3,71,65,5,0,2,0,3,0,0,0,0,0,55,1,4,Matches
525,Bertrand Traoré,bf,"DF,FW",Aston Villa,27,1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
526,Boubacar Traoré,ml,MF,Wolves,21,2001,9.1,455,444,10,4,0,2,6,5,0,0,0,0,383,1,7,Matches
527,Mark Travers,ie,GK,Bournemouth,24,1999,4.0,118,76,42,16,0,0,0,0,0,0,0,0,67,0,0,Matches
528,Mike Trésor,be,"FW,MF",Burnley,24,1999,4.7,180,156,24,3,0,0,32,2,19,5,11,0,120,0,9,Matches
529,Kieran Trippier,eng,DF,Newcastle Utd,32,1990,24.8,2130,1705,418,109,1,12,212,197,112,42,38,8,1624,7,42,Matches
530,Leandro Trossard,be,"FW,MF",Arsenal,28,1994,18.3,673,625,46,6,8,2,57,8,24,22,0,0,494,2,30,Matches
531,Auston Trusty,us,DF,Sheffield Utd,24,1998,28.6,920,842,76,7,0,0,5,68,0,0,0,0,701,2,11,Matches
532,Kostas Tsimikas,gr,DF,Liverpool,27,1996,7.5,500,389,110,14,0,1,72,67,29,7,22,0,383,1,10,Matches
533,Matt Turner,us,GK,Nott'ham Forest,29,1994,17.0,578,373,199,63,0,0,0,0,0,0,0,0,398,6,2,Matches
534,Destiny Udogie,it,DF,Tottenham,20,2002,26.6,1440,1212,225,24,0,0,22,201,0,0,0,0,1235,3,42,Matches
535,Lesley Ugochukwu,fr,MF,Chelsea,19,2004,3.3,183,183,0,0,0,1,0,0,0,0,0,0,155,0,2,Matches
536,Enes Ünal,tr,"FW,MF",Bournemouth,26,1997,3.6,75,68,7,1,0,0,3,0,0,0,0,0,55,0,5,Matches
537,Virgil van Dijk,nl,DF,Liverpool,32,1991,35.3,2887,2712,173,80,0,21,0,13,0,0,0,0,2640,2,6,Matches
538,Raphaël Varane,fr,DF,Manchester Utd,30,1993,15.3,781,708,69,24,1,0,0,3,0,0,0,0,694,4,4,Matches
539,Alejo Véliz,ar,FW,Tottenham,19,2003,0.6,10,8,2,0,0,0,0,0,0,0,0,0,5,0,0,Matches
540,Joël Veltman,nl,DF,Brighton,31,1992,17.6,906,786,118,35,2,0,11,83,0,0,0,0,758,2,16,Matches
541,Micky van de Ven,nl,DF,Tottenham,22,2001,26.0,1810,1707,100,48,0,1,3,21,0,0,0,0,1698,3,5,Matches
542,Bart Verbruggen,nl,GK,Brighton,20,2002,21.0,862,771,90,17,0,0,0,1,0,0,0,0,753,1,1,Matches
543,Guglielmo Vicario,it,GK,Tottenham,26,1996,38.0,1569,1272,292,91,0,0,0,0,0,0,0,0,1335,5,1,Matches
544,Fabio Vieira,pt,"MF,FW",Arsenal,23,2000,3.3,150,137,12,3,3,2,15,0,8,3,0,0,122,1,1,Matches
545,Carlos Vinícius,br,FW,Fulham,28,1995,3.5,62,61,1,0,0,0,1,0,0,0,0,0,46,0,1,Matches
546,Vitinho,br,"DF,MF",Burnley,24,1999,25.7,994,804,186,8,4,1,56,178,0,0,0,0,715,4,28,Matches
547,Odisseas Vlachodimos,gr,GK,Nott'ham Forest,29,1994,5.0,176,119,55,11,0,0,0,0,0,0,0,0,141,2,0,Matches
548,Kyle Walker,eng,DF,Manchester City,33,1990,30.7,2404,2162,241,33,6,20,59,208,0,0,0,0,2128,1,31,Matches
549,Aaron Wan-Bissaka,eng,DF,Manchester Utd,25,1997,19.8,986,839,145,7,0,1,14,138,0,0,0,0,823,2,27,Matches
550,Joel Ward,eng,DF,Crystal Palace,33,1989,22.0,944,804,139,21,1,3,22,118,0,0,0,0,715,1,21,Matches
551,James Ward-Prowse,eng,MF,West Ham,28,1994,33.3,1672,1422,242,80,2,16,189,3,119,64,53,0,1386,8,19,Matches
552,Lewis Warrington,eng,FW,Everton,20,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
553,Deivid Washington,br,"DF,FW",Chelsea,18,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
554,Ollie Watkins,eng,FW,Aston Villa,27,1995,35.7,609,586,21,1,5,1,13,4,0,0,0,0,459,2,17,Matches
555,Adam Webster,eng,DF,Brighton,28,1995,12.7,1096,1063,31,23,1,4,1,7,0,0,0,0,997,2,2,Matches
556,Danny Welbeck,eng,"FW,MF",Brighton,32,1990,18.8,515,490,21,1,4,1,3,2,0,0,0,0,423,4,22,Matches
557,Timo Werner,de,FW,Tottenham,27,1996,9.0,366,349,16,2,2,0,28,14,0,0,0,0,281,1,16,Matches
558,Adam Wharton,eng,MF,Crystal Palace,19,2004,14.4,596,553,34,13,3,2,25,0,15,7,4,0,464,9,11,Matches
559,Ethan Wheatley,eng,FW,Manchester Utd,17,2006,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
560,Ben White,eng,DF,Arsenal,25,1997,33.2,2177,1922,251,46,5,11,57,205,0,0,0,0,1828,4,21,Matches
561,Joe White,eng,MF,Newcastle Utd,20,2002,0.1,12,12,0,0,0,0,0,0,0,0,0,0,11,0,1,Matches
562,Neco Williams,wls,DF,Nott'ham Forest,22,2001,18.2,785,642,138,18,0,2,68,115,4,0,4,0,519,5,34,Matches
563,Willian,br,FW,Fulham,34,1988,22.8,1145,1081,59,17,8,14,75,6,36,11,14,0,932,5,20,Matches
564,Joe Willock,eng,MF,Newcastle Utd,23,1999,4.7,164,158,5,1,1,2,6,4,0,0,0,0,136,1,3,Matches
565,Callum Wilson,eng,FW,Newcastle Utd,31,1992,11.0,163,152,11,0,2,2,3,2,0,0,0,0,105,0,17,Matches
566,Harry Wilson,wls,FW,Fulham,26,1997,18.0,632,591,38,13,3,9,42,5,19,7,6,0,478,3,21,Matches
567,Yoane Wissa,cd,FW,Brentford,26,1996,27.7,462,444,17,1,3,3,21,0,2,0,0,0,327,1,19,Matches
568,Chris Wood,nz,FW,Nott'ham Forest,31,1991,20.1,433,428,5,0,1,1,2,0,0,0,0,0,278,0,12,Matches
569,Cauley Woodrow,eng,"FW,MF",Luton Town,28,1994,4.7,152,145,6,0,0,0,10,2,3,0,2,0,110,1,7,Matches
570,Joe Worrall,eng,DF,Nott'ham Forest,26,1997,4.9,164,157,7,4,0,1,0,3,0,0,0,0,138,0,1,Matches
571,Yehor Yarmoliuk,ua,MF,Brentford,19,2004,7.6,298,296,2,0,0,1,14,2,0,0,0,0,221,0,11,Matches
572,Ryan Yates,eng,MF,Nott'ham Forest,25,1997,22.1,827,749,75,26,2,0,6,2,0,0,0,0,658,3,23,Matches
573,Ashley Young,eng,"DF,MF",Everton,38,1985,25.3,1052,831,212,25,2,1,100,168,19,10,7,1,723,9,29,Matches
574,Illia Zabarnyi,ua,DF,Bournemouth,20,2002,37.0,1805,1755,49,42,2,10,1,1,0,0,0,0,1471,1,11,Matches
575,Nicolò Zaniolo,it,"FW,MF",Aston Villa,24,1999,9.3,228,225,2,0,0,2,18,1,0,0,0,0,150,1,23,Matches
576,Anass Zaroury,ma,"FW,MF",Burnley,22,2000,1.7,70,65,5,0,0,0,11,0,4,2,2,0,43,0,4,Matches
577,Oleksandr Zinchenko,ua,DF,Arsenal,26,1996,19.1,1568,1395,165,46,11,5,30,119,0,0,0,0,1374,8,14,Matches
578,Kurt Zouma,fr,DF,West Ham,28,1994,31.5,1148,1096,50,39,1,28,0,3,0,0,0,0,962,2,10,Matches
579,Martin Ødegaard,no,MF,Arsenal,24,1998,34.3,2006,1887,103,55,39,3,77,13,26,21,1,0,1692,16,38,Matches
