,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
75,Andre Brooks,eng,"MF,DF",Sheffield Utd,19,2003,10.4,261,252,9,2,0,2,8,5,0,0,0,0,196,0,12,Matches
76,David Brooks,wls,"FW,MF",Bournemouth,26,1997,3.1,132,120,12,1,1,1,15,5,6,5,0,0,95,0,6,Matches
77,Jacob Brown,sct,"MF,FW",Luton Town,25,1998,11.3,247,238,7,0,0,0,10,6,0,0,0,0,136,2,18,Matches
78,Josh Brownhill,eng,MF,Burnley,27,1995,25.0,1106,998,103,29,4,3,57,16,50,23,8,2,850,5,18,Matches
79,Jacob Bruun Larsen,dk,"MF,FW",Burnley,24,1998,13.9,526,455,69,15,1,3,62,5,46,14,17,2,378,2,18,Matches
80,Hugo Bueno,es,"DF,MF",Wolves,20,2002,8.2,406,358,46,1,0,1,29,45,0,0,0,0,318,2,18,Matches
81,Santiago Bueno,uy,DF,Wolves,24,1998,9.1,480,468,12,7,0,1,2,2,0,0,0,0,426,0,5,Matches
82,Facundo Buonanotte,ar,"FW,MF",Brighton,18,2004,15.2,478,467,11,6,1,1,6,3,1,1,0,0,404,0,9,Matches
83,Reece Burke,eng,DF,Luton Town,26,1996,18.4,719,689,29,9,0,2,13,20,0,0,0,0,547,1,15,Matches
84,Dan Burn,eng,DF,Newcastle Utd,31,1992,30.3,1667,1471,190,38,1,4,11,150,0,0,0,0,1351,6,25,Matches
85,Mason Burstow,eng,FW,Chelsea,19,2003,0.1,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1,Matches
86,Moisés Caicedo,ec,MF,Chelsea,21,2001,31.8,2119,2065,45,39,12,12,10,3,0,0,0,0,1907,9,29,Matches
87,Tom Cairney,sct,MF,Fulham,32,1991,16.5,1272,1239,27,15,2,1,25,0,2,1,1,0,1126,6,13,Matches
88,Dominic Calvert-Lewin,eng,FW,Everton,26,1997,24.1,440,437,1,0,1,0,3,1,0,0,0,0,248,2,15,Matches
89,Thomas Cannon,ie,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Diego Carlos,br,DF,Aston Villa,30,1993,20.2,1340,1293,47,41,0,6,1,0,0,0,0,0,1184,0,4,Matches
91,Cesare Casadei,it,"FW,MF",Chelsea,20,2003,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1,Matches
92,Casemiro,br,"MF,DF",Manchester Utd,31,1992,22.0,1425,1385,34,28,4,6,13,0,0,0,0,0,1165,6,18,Matches
93,Kaelan Casey,eng,DF,West Ham,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Matty Cash,pl,DF,Aston Villa,25,1997,23.8,1225,1043,181,24,0,3,39,157,0,0,0,0,985,1,24,Matches
95,Timothy Castagne,be,DF,Fulham,27,1995,29.3,1662,1373,286,27,2,2,50,259,0,0,0,0,1350,3,55,Matches
96,Jonny Castro,es,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Trevoh Chalobah,eng,DF,Chelsea,24,1999,10.6,783,746,36,13,1,0,0,22,0,0,0,0,700,1,1,Matches
98,Calum Chambers,eng,"MF,DF",Aston Villa,28,1995,1.7,113,113,0,0,0,1,0,0,0,0,0,0,100,0,2,Matches
99,Youssef Chermiti,pt,FW,Everton,19,2004,2.3,58,57,1,0,0,0,0,0,0,0,0,0,35,0,0,Matches
100,Ben Chilwell,eng,DF,Chelsea,26,1996,8.4,495,416,73,11,0,0,43,41,21,9,11,0,373,6,19,Matches
101,Tawanda Chirewa,zw,"MF,FW",Wolves,19,2003,1.6,58,54,3,1,0,0,4,0,0,0,0,0,46,1,2,Matches
102,Leon Chiwome,eng,FW,Wolves,17,2006,1.9,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1,Matches
103,Tahith Chong,nl,"MF,FW",Luton Town,23,1999,22.0,550,515,31,4,5,6,35,11,0,0,0,0,428,4,21,Matches
104,Ryan Christie,sct,MF,Bournemouth,28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26,Matches
105,Carney Chukwuemeka,eng,"MF,FW",Chelsea,19,2003,2.5,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4,Matches
106,Bobby Clark,eng,MF,Liverpool,18,2005,1.0,49,49,0,0,0,0,0,0,0,0,0,0,38,0,2,Matches
107,Jordan Clark,eng,MF,Luton Town,29,1993,14.5,513,475,36,13,1,6,23,5,0,0,0,0,369,2,18,Matches
108,Nathaniel Clyne,eng,DF,Crystal Palace,32,1991,14.9,600,539,58,3,0,0,9,55,0,0,0,0,495,3,16,Matches
109,Séamus Coleman,ie,DF,Everton,34,1988,7.4,306,232,70,1,0,1,13,69,0,0,0,0,207,4,11,Matches
110,Nathan Collins,ie,DF,Brentford,22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16,Matches
111,Levi Colwill,eng,DF,Chelsea,20,2003,20.0,1163,1033,126,28,4,0,12,94,0,0,0,0,965,4,17,Matches
112,Lewis Cook,eng,MF,Bournemouth,26,1997,31.0,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25,Matches
113,Jack Cork,eng,MF,Burnley,34,1989,0.3,33,31,2,2,0,0,1,0,0,0,0,0,25,0,2,Matches
114,Maxwel Cornet,ci,"MF,FW",West Ham,26,1996,1.2,49,48,1,0,0,0,1,0,0,0,0,0,36,0,2,Matches
115,Vladimír Coufal,cz,DF,West Ham,30,1992,34.8,1665,1317,337,17,2,4,106,319,1,0,0,0,1154,11,56,Matches
116,Philippe Coutinho,br,"MF,FW",Aston Villa,31,1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0,Matches
117,Aaron Cresswell,eng,"DF,FW",West Ham,33,1989,4.8,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3,Matches
118,Marc Cucurella,es,DF,Chelsea,25,1998,19.8,1196,1043,153,30,1,2,16,123,0,0,0,0,1036,0,26,Matches
119,Josh Cullen,ie,MF,Burnley,27,1996,22.9,1373,1311,57,42,5,2,26,1,14,5,6,0,1173,5,19,Matches
120,Matheus Cunha,br,"FW,MF",Wolves,24,1999,27.1,831,769,56,8,8,7,24,15,3,1,0,0,658,6,19,Matches
121,Sam Curtis,ie,DF,Sheffield Utd,17,2005,0.3,10,8,2,0,0,0,1,2,0,0,0,0,6,0,1,Matches
