,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
364,Rodrigo Muniz,br,FW,Fulham,22,2001,17.7,39,2.20,21,0,3,9,4,2,2,0.11,1,0,0,1,0,0,Matches
365,Daniel Muñoz,co,"DF,MF",Crystal Palace,27,1996,16.0,46,2.88,38,2,1,1,2,2,7,0.44,5,1,1,0,0,0,Matches
366,Finley Munroe,eng,MF,Aston Villa,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
367,Arijanet Muric,xk,GK,Burnley,24,1998,10.0,6,0.60,5,1,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
368,Murillo,br,DF,Nott'ham Forest,21,2002,31.0,30,0.97,20,1,5,3,1,0,4,0.13,2,1,0,0,1,0,Matches
369,Alex Murphy,ie,"DF,FW",Newcastle Utd,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
370,Jacob Murphy,eng,"FW,DF",Newcastle Utd,28,1995,13.2,55,4.16,44,4,2,3,1,1,10,0.76,9,0,1,0,0,0,Matches
371,Vitaliy Mykolenko,ua,DF,Everton,24,1999,27.4,37,1.35,32,0,1,4,0,0,3,0.11,1,0,0,2,0,0,Matches
372,Marvelous Nakamba,zw,MF,Luton Town,29,1994,12.6,13,1.03,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
373,Michael Ndiweni,eng,FW,Newcastle Utd,19,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
374,Reiss Nelson,eng,FW,Arsenal,23,1999,3.0,9,3.02,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
375,Zack Nelson,eng,"MF,DF",Luton Town,18,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
376,Neto,br,GK,Bournemouth,34,1989,32.0,5,0.16,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
377,Pedro Neto,pt,"FW,MF",Wolves,23,2000,16.8,75,4.45,41,15,8,4,7,0,14,0.83,8,2,2,1,1,0,Matches
378,Moussa Niakhate,sn,DF,Nott'ham Forest,27,1996,16.2,11,0.68,8,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
379,Eddie Nketiah,eng,FW,Arsenal,24,1999,12.0,28,2.33,17,0,3,5,3,0,8,0.67,3,0,1,1,3,0,Matches
380,Christopher Nkunku,fr,"FW,MF",Chelsea,25,1997,4.9,13,2.65,10,0,1,1,1,0,1,0.20,1,0,0,0,0,0,Matches
381,Rhys Norrington-Davies,wls,DF,Sheffield Utd,24,1999,1.2,1,0.82,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
382,Oliver Norwood,nir,MF,Sheffield Utd,32,1991,16.0,32,2.00,19,12,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
383,Matheus Nunes,pt,MF,Wolves,24,1998,2.0,7,3.52,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
384,Matheus Nunes,pt,MF,Manchester City,24,1998,7.3,20,2.72,16,0,0,1,3,0,3,0.41,3,0,0,0,0,0,Matches
385,Darwin Núñez,uy,FW,Liverpool,24,1999,22.7,79,3.47,60,0,5,12,2,0,14,0.62,11,0,0,2,1,0,Matches
386,Ethan Nwaneri,eng,FW,Arsenal,16,2007,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
387,Christian Nørgaard,dk,MF,Brentford,29,1994,27.8,63,2.26,48,8,0,3,2,2,3,0.11,3,0,0,0,0,0,Matches
388,Mark O'Mahony,ie,FW,Brighton,18,2005,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
389,Dara O'Shea,ie,DF,Burnley,24,1999,32.1,32,1.00,27,0,0,3,1,1,6,0.19,6,0,0,0,0,0,Matches
390,Michael Obafemi,ie,"FW,MF",Burnley,23,2000,0.2,1,4.29,1,0,0,0,0,0,1,4.29,1,0,0,0,0,0,Matches
391,Wilson Odobert,fr,"MF,FW",Burnley,18,2004,23.3,76,3.26,55,0,10,8,3,0,4,0.17,3,0,0,1,0,0,Matches
392,Odeluga Offiah,eng,DF,Brighton,20,2002,1.4,4,2.81,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
393,Chiedozie Ogbene,ie,"MF,DF",Luton Town,26,1997,22.2,79,3.56,51,2,12,5,9,0,9,0.41,1,0,2,2,4,0,Matches
394,Angelo Ogbonna,it,DF,West Ham,35,1988,7.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
395,Michael Olakigbe,eng,"DF,FW",Brentford,19,2004,0.7,3,4.58,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
396,Michael Olise,fr,"FW,MF",Crystal Palace,21,2001,14.2,82,5.79,44,15,11,5,7,0,14,0.99,11,1,2,0,0,0,Matches
397,Robin Olsen,se,GK,Aston Villa,33,1990,4.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
398,Andrew Omobamidele,ie,DF,Nott'ham Forest,21,2002,8.7,6,0.69,5,0,0,1,0,0,1,0.11,0,0,0,1,0,0,Matches
399,Amadou Onana,be,MF,Everton,21,2001,23.2,56,2.41,47,0,1,3,4,1,1,0.04,0,0,0,0,0,1,Matches
400,André Onana,cm,GK,Manchester Utd,27,1996,38.0,6,0.16,6,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
401,Ryan One,sct,FW,Sheffield Utd,17,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
402,Tyler Onyango,eng,MF,Everton,20,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
403,Fred Onyedinma,eng,"DF,MF",Luton Town,26,1996,4.5,5,1.11,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
404,Frank Onyeka,ng,MF,Brentford,25,1998,12.9,32,2.48,22,0,2,3,4,1,1,0.08,0,0,0,1,0,0,Matches
405,Divock Origi,be,FW,Nott'ham Forest,28,1995,6.7,16,2.38,11,1,2,1,1,0,2,0.30,2,0,0,0,0,0,Matches
406,Stefan Ortega,de,GK,Manchester City,30,1992,7.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
407,Ben Osborn,eng,"DF,MF",Sheffield Utd,28,1994,15.2,24,1.58,22,1,0,0,1,0,3,0.20,3,0,0,0,0,0,Matches
408,Gabriel Osho,ng,DF,Luton Town,24,1998,20.5,8,0.39,7,0,1,0,0,0,3,0.15,3,0,0,0,0,0,Matches
409,William Osula,dk,FW,Sheffield Utd,19,2003,8.7,12,1.37,3,0,1,5,3,0,1,0.11,0,0,0,1,0,0,Matches
410,Dango Ouattara,bf,"FW,DF",Bournemouth,21,2002,13.7,45,3.30,34,1,4,2,1,3,3,0.22,3,0,0,0,0,0,Matches
411,David Ozoh,eng,"MF,DF",Crystal Palace,18,2005,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
412,João Palhinha,pt,MF,Fulham,28,1995,30.0,33,1.10,23,2,0,4,2,2,2,0.07,1,0,0,1,0,0,Matches
413,Cole Palmer,eng,"FW,MF",Chelsea,21,2002,29.0,162,5.59,116,12,14,10,5,5,26,0.90,20,0,1,2,1,2,Matches
414,Cole Palmer,eng,MF,Manchester City,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
415,Emerson Palmieri,it,DF,West Ham,28,1994,34.9,74,2.12,49,6,3,4,8,4,12,0.34,6,2,1,1,1,1,Matches
416,Lucas Paquetá,br,"FW,MF",West Ham,25,1997,29.1,95,3.26,77,1,7,2,6,2,16,0.55,13,1,2,0,0,0,Matches
417,Ben Parkinson,eng,FW,Newcastle Utd,18,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
418,Thomas Partey,gh,"MF,DF",Arsenal,30,1993,8.8,25,2.86,24,0,0,0,1,0,4,0.46,4,0,0,0,0,0,Matches
419,Nathan Patterson,sct,DF,Everton,21,2001,11.2,20,1.79,14,3,0,1,0,2,2,0.18,2,0,0,0,0,0,Matches
420,Myles Peart-Harris,eng,"DF,MF",Brentford,20,2002,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
421,Sydie Peck,eng,MF,Sheffield Utd,18,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
422,Facundo Pellistri,uy,"FW,MF",Manchester Utd,21,2001,1.9,3,1.57,2,0,0,0,1,0,1,0.52,1,0,0,0,0,0,Matches
423,Andreas Pereira,br,MF,Fulham,27,1996,29.0,137,4.72,80,48,3,3,3,0,15,0.52,10,4,1,0,0,0,Matches
424,Ivan Perišić,hr,FW,Tottenham,34,1989,1.1,8,6.99,6,1,1,0,0,0,2,1.75,1,1,0,0,0,0,Matches
425,Đorđe Petrović,rs,GK,Chelsea,23,1999,22.1,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
426,Kalvin Phillips,eng,MF,West Ham,27,1995,3.4,5,1.46,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
427,Kalvin Phillips,eng,MF,Manchester City,27,1995,1.0,1,0.98,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
428,Jaden Philogene Bidace,eng,FW,Aston Villa,21,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
429,Jordan Pickford,eng,GK,Everton,29,1994,38.0,24,0.63,14,10,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
430,Ethan Pinnock,jm,DF,Brentford,30,1993,28.0,24,0.86,16,1,0,6,0,1,1,0.04,1,0,0,0,0,0,Matches
431,Nick Pope,eng,GK,Newcastle Utd,31,1992,14.9,1,0.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
432,Pedro Porro,es,DF,Tottenham,23,1999,34.3,107,3.12,66,28,4,5,4,0,12,0.35,9,3,0,0,0,0,Matches
433,Jarell Quansah,eng,DF,Liverpool,20,2003,13.2,13,0.98,13,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
434,Ionuț Radu,ro,GK,Bournemouth,26,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
435,Jesurun Rak Sakyi,eng,"MF,FW",Crystal Palace,20,2002,1.5,6,3.97,4,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
436,Aaron Ramsdale,eng,GK,Arsenal,25,1998,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
437,Aaron Ramsey,eng,"MF,FW",Burnley,20,2003,5.9,5,0.85,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
438,Jacob Ramsey,eng,"FW,MF",Aston Villa,22,2001,9.5,29,3.06,23,2,1,2,0,1,3,0.32,2,1,0,0,0,0,Matches
439,Marcus Rashford,eng,FW,Manchester Utd,25,1997,25.2,87,3.45,57,1,16,7,6,0,12,0.48,10,0,1,0,1,0,Matches
440,David Raya,es,GK,Arsenal,27,1995,32.0,4,0.12,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
441,Tim Ream,us,DF,Fulham,35,1987,16.7,10,0.60,9,1,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
442,Nathan Redmond,eng,"FW,MF",Burnley,29,1994,1.6,8,5.07,6,0,1,0,1,0,1,0.63,1,0,0,0,0,0,Matches
443,Harrison Reed,eng,MF,Fulham,28,1995,14.7,29,1.97,25,3,0,0,1,0,5,0.34,3,2,0,0,0,0,Matches
444,Sergio Reguilón,es,DF,Manchester Utd,26,1996,4.6,15,3.28,13,1,0,1,0,0,1,0.22,1,0,0,0,0,0,Matches
445,Sergio Reguilón,es,DF,Brentford,26,1996,12.4,35,2.82,20,11,1,2,1,0,6,0.48,2,2,0,2,0,0,Matches
446,Bobby Reid,jm,FW,Fulham,30,1993,15.8,35,2.17,29,0,1,3,0,2,4,0.25,3,0,0,0,0,1,Matches
447,Gio Reyna,us,"FW,MF",Nott'ham Forest,20,2002,2.6,12,4.60,9,1,1,0,0,1,2,0.77,1,1,0,0,0,0,Matches
448,Rodrigo Ribeiro,pt,"MF,FW",Nott'ham Forest,18,2005,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
449,Declan Rice,eng,MF,Arsenal,24,1999,35.8,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0,Matches
450,Chris Richards,us,"DF,MF",Crystal Palace,23,2000,23.3,16,0.69,11,0,0,2,0,3,3,0.13,3,0,0,0,0,0,Matches
451,Richarlison,br,FW,Tottenham,26,1997,16.6,34,2.05,23,0,3,5,2,1,5,0.30,5,0,0,0,0,0,Matches
452,Jaïro Riedewald,nl,"MF,FW",Crystal Palace,26,1996,2.6,1,0.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
453,Matt Ritchie,sct,"FW,MF",Newcastle Utd,33,1989,1.4,3,2.11,3,0,0,0,0,0,1,0.70,1,0,0,0,0,0,Matches
454,Connor Roberts,wls,DF,Burnley,27,1995,9.1,18,1.97,13,5,0,0,0,0,3,0.33,3,0,0,0,0,0,Matches
455,Andrew Robertson,sct,DF,Liverpool,29,1994,18.8,97,5.16,62,33,1,0,1,0,5,0.27,3,2,0,0,0,0,Matches
456,Antonee Robinson,us,DF,Fulham,25,1997,36.3,69,1.90,63,2,2,0,1,1,7,0.19,7,0,0,0,0,0,Matches
457,Jack Robinson,eng,DF,Sheffield Utd,29,1993,32.1,23,0.72,12,7,0,3,0,1,1,0.03,0,1,0,0,0,0,Matches
458,Rodri,es,MF,Manchester City,27,1996,32.6,157,4.82,130,2,8,5,6,6,23,0.71,17,0,3,1,1,1,Matches
459,Jay Rodriguez,eng,FW,Burnley,34,1989,9.1,13,1.42,7,0,2,4,0,0,1,0.11,1,0,0,0,0,0,Matches
460,Mads Roerslev,dk,DF,Brentford,24,1999,22.1,33,1.50,29,0,3,0,0,1,3,0.14,3,0,0,0,0,0,Matches
461,Morgan Rogers,eng,"MF,FW",Aston Villa,21,2002,7.1,23,3.25,18,0,3,0,2,0,4,0.57,2,0,1,0,1,0,Matches
462,Cristian Romero,ar,DF,Tottenham,25,1998,31.0,35,1.13,28,2,0,3,0,2,2,0.06,1,0,0,1,0,0,Matches
463,Joe Rothwell,eng,MF,Bournemouth,28,1995,4.3,12,2.80,6,3,1,1,1,0,1,0.23,1,0,0,0,0,0,Matches
464,Pelly Ruddock Mpanzu,cd,MF,Luton Town,30,1993,12.2,19,1.55,12,1,2,1,2,1,0,0.00,0,0,0,0,0,0,Matches
465,José Sá,pt,GK,Wolves,30,1993,33.7,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
466,Dominic Sadi,eng,FW,Bournemouth,19,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
467,Bukayo Saka,eng,FW,Arsenal,21,2001,32.4,188,5.80,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0,Matches
468,Mohamed Salah,eg,FW,Liverpool,31,1992,28.2,139,4.94,103,2,7,21,5,1,20,0.71,14,0,2,3,1,0,Matches
469,William Saliba,fr,DF,Arsenal,22,2001,38.0,29,0.76,26,0,1,2,0,0,3,0.08,3,0,0,0,0,0,Matches
470,Albert Sambi Lokonga,be,MF,Luton Town,23,1999,14.5,27,1.86,22,0,0,1,3,1,3,0.21,3,0,0,0,0,0,Matches
471,Davinson Sánchez,co,DF,Tottenham,27,1996,0.9,1,1.17,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
472,Robert Sánchez,es,GK,Chelsea,25,1997,15.9,2,0.13,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
473,Jadon Sancho,eng,"FW,MF",Manchester Utd,23,2000,0.9,4,4.62,1,1,0,0,1,1,1,1.15,0,1,0,0,0,0,Matches
474,Ibrahim Sangaré,ci,MF,Nott'ham Forest,25,1997,11.5,18,1.57,15,0,0,1,1,1,2,0.17,2,0,0,0,0,0,Matches
475,Andrey Santos,br,MF,Nott'ham Forest,19,2004,0.1,2,22.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
476,Pablo Sarabia,es,"MF,FW",Wolves,31,1992,19.4,87,4.49,49,26,2,4,5,1,11,0.57,7,4,0,0,0,0,Matches
477,Dane Scarlett,eng,FW,Tottenham,19,2004,0.2,1,4.09,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
478,Kevin Schade,de,"FW,MF",Brentford,21,2001,3.7,12,3.22,8,0,1,1,2,0,3,0.81,2,0,0,0,1,0,Matches
479,Fabian Schär,ch,DF,Newcastle Utd,31,1991,33.9,47,1.39,33,2,2,4,5,1,12,0.35,8,0,0,0,3,1,Matches
480,Jeffrey Schlupp,gh,"FW,MF",Crystal Palace,30,1992,15.0,28,1.86,21,0,2,1,2,2,3,0.20,3,0,0,0,0,0,Matches
481,Alex Scott,eng,MF,Bournemouth,19,2003,11.3,44,3.91,32,5,2,2,2,1,3,0.27,2,0,1,0,0,0,Matches
482,Matz Sels,be,GK,Nott'ham Forest,31,1992,16.0,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
483,Nélson Semedo,pt,"DF,MF",Wolves,29,1993,34.3,60,1.75,46,0,3,2,6,3,3,0.09,2,0,0,0,0,1,Matches
484,Antoine Semenyo,gh,FW,Bournemouth,23,2000,23.4,72,3.08,50,0,11,9,1,1,7,0.30,4,0,0,1,1,1,Matches
485,Marcos Senesi,ar,DF,Bournemouth,26,1997,24.9,49,1.97,44,0,0,2,1,2,8,0.32,8,0,0,0,0,0,Matches
486,Luke Shaw,eng,DF,Manchester Utd,28,1995,10.7,23,2.16,13,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
487,James Shea,eng,GK,Luton Town,32,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
488,Bernardo Silva,pt,"MF,FW",Manchester City,28,1994,28.6,130,4.54,117,3,6,1,3,0,13,0.45,11,0,2,0,0,0,Matches
489,Fábio Silva,pt,FW,Wolves,21,2002,2.9,9,3.08,6,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
490,Thiago Silva,br,DF,Chelsea,38,1984,28.1,27,0.96,25,1,0,1,0,0,4,0.14,3,0,0,1,0,0,Matches
491,Luis Sinisterra,co,"FW,MF",Bournemouth,24,1999,7.8,42,5.42,27,0,9,4,0,2,3,0.39,0,0,0,3,0,0,Matches
492,Oliver Skipp,eng,"MF,DF",Tottenham,22,2000,7.9,14,1.78,13,0,0,1,0,0,2,0.25,2,0,0,0,0,0,Matches
493,Adam Smith,eng,DF,Bournemouth,32,1991,23.9,31,1.30,26,4,0,0,1,0,5,0.21,5,0,0,0,0,0,Matches
494,Emile Smith Rowe,eng,MF,Arsenal,23,2000,3.9,13,3.31,10,1,0,1,1,0,2,0.51,1,1,0,0,0,0,Matches
495,Cédric Soares,pt,DF,Arsenal,31,1991,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
496,Dominic Solanke,eng,FW,Bournemouth,25,1997,36.9,79,2.14,61,0,6,5,4,3,6,0.16,4,0,2,0,0,0,Matches
497,Manor Solomon,il,FW,Tottenham,24,1999,2.2,19,8.59,16,0,1,1,1,0,2,0.90,2,0,0,0,0,0,Matches
498,Tomáš Souček,cz,MF,West Ham,28,1995,31.9,42,1.32,34,1,0,4,0,3,4,0.13,4,0,0,0,0,0,Matches
499,Vinicius Souza,br,MF,Sheffield Utd,24,1999,29.6,26,0.88,22,1,0,1,0,2,3,0.10,2,0,0,1,0,0,Matches
500,Jason Steele,eng,GK,Brighton,32,1990,17.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
501,Raheem Sterling,eng,"FW,MF",Chelsea,28,1994,22.0,85,3.87,55,0,15,4,7,4,14,0.64,7,0,4,0,3,0,Matches
502,John Stones,eng,"DF,MF",Manchester City,29,1994,11.8,23,1.95,21,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
503,Thomas Strakosha,al,GK,Brentford,28,1995,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
504,Dominik Szoboszlai,hu,MF,Liverpool,22,2000,23.4,115,4.92,84,21,4,3,3,0,7,0.30,5,0,0,1,1,0,Matches
505,Matt Targett,eng,DF,Newcastle Utd,27,1995,0.9,4,4.62,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
506,James Tarkowski,eng,DF,Everton,30,1992,38.0,44,1.16,38,0,1,4,0,1,3,0.08,3,0,0,0,0,0,Matches
507,Jimi Tauriainen,eng,FW,Chelsea,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
508,Nuno Tavares,pt,DF,Nott'ham Forest,23,2000,5.1,9,1.77,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
509,Marcus Tavernier,eng,FW,Bournemouth,24,1999,23.5,101,4.29,72,14,5,5,4,1,9,0.38,6,2,0,0,1,0,Matches
510,Charlie Taylor,eng,DF,Burnley,29,1993,25.9,34,1.31,30,0,0,2,1,1,2,0.08,1,0,0,1,0,0,Matches
511,Kenny Tete,nl,DF,Fulham,27,1995,9.6,15,1.56,11,0,2,1,1,0,2,0.21,1,0,0,0,1,0,Matches
512,Luke Thomas,eng,DF,Sheffield Utd,22,2001,10.2,10,0.98,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
513,Youri Tielemans,be,"MF,FW",Aston Villa,26,1997,18.0,49,2.72,40,1,1,3,2,2,16,0.89,14,0,0,1,0,1,Matches
514,Jurriën Timber,nl,DF,Arsenal,22,2001,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
515,Harry Toffolo,eng,DF,Nott'ham Forest,27,1995,16.2,25,1.54,16,7,0,2,0,0,4,0.25,4,0,0,0,0,0,Matches
516,Takehiro Tomiyasu,jp,DF,Arsenal,24,1998,12.8,17,1.33,16,0,0,1,0,0,2,0.16,2,0,0,0,0,0,Matches
517,James Tomkins,eng,DF,Crystal Palace,34,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
518,Sandro Tonali,it,MF,Newcastle Utd,23,2000,4.9,12,2.47,10,1,0,0,1,0,3,0.62,2,0,0,0,1,0,Matches
519,Ivan Toney,eng,FW,Brentford,27,1996,16.1,39,2.42,22,5,4,4,4,0,6,0.37,4,0,1,1,0,0,Matches
520,Pau Torres,es,DF,Aston Villa,26,1997,27.4,23,0.84,22,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
521,Andros Townsend,eng,"MF,FW",Luton Town,32,1991,13.4,36,2.68,24,5,3,3,1,0,6,0.45,4,0,1,1,0,0,Matches
522,James Trafford,eng,GK,Burnley,20,2002,28.0,7,0.25,3,4,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
523,Adama Traoré,es,"FW,MF",Fulham,27,1996,4.2,14,3.34,12,0,1,1,0,0,5,1.19,4,0,1,0,0,0,Matches
524,Bénie Traoré,ci,"FW,MF",Sheffield Utd,20,2002,4.3,6,1.40,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
525,Bertrand Traoré,bf,"DF,FW",Aston Villa,27,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
526,Boubacar Traoré,ml,MF,Wolves,21,2001,9.1,13,1.43,12,0,1,0,0,0,2,0.22,2,0,0,0,0,0,Matches
527,Mark Travers,ie,GK,Bournemouth,24,1999,4.0,2,0.50,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
528,Mike Trésor,be,"FW,MF",Burnley,24,1999,4.7,10,2.14,4,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
529,Kieran Trippier,eng,DF,Newcastle Utd,32,1990,24.8,101,4.07,68,28,1,0,2,2,11,0.44,7,3,0,0,0,1,Matches
530,Leandro Trossard,be,"FW,MF",Arsenal,28,1994,18.3,65,3.55,46,3,7,5,4,0,6,0.33,1,1,2,0,2,0,Matches
531,Auston Trusty,us,DF,Sheffield Utd,24,1998,28.6,16,0.56,11,2,1,0,0,2,0,0.00,0,0,0,0,0,0,Matches
532,Kostas Tsimikas,gr,DF,Liverpool,27,1996,7.5,32,4.24,20,9,0,0,2,1,2,0.27,2,0,0,0,0,0,Matches
533,Matt Turner,us,GK,Nott'ham Forest,29,1994,17.0,4,0.24,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
534,Destiny Udogie,it,DF,Tottenham,20,2002,26.6,57,2.15,51,0,4,2,0,0,7,0.26,6,0,0,1,0,0,Matches
535,Lesley Ugochukwu,fr,MF,Chelsea,19,2004,3.3,5,1.50,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
536,Enes Ünal,tr,"FW,MF",Bournemouth,26,1997,3.6,12,3.28,4,0,1,5,1,1,3,0.82,1,0,0,2,0,0,Matches
537,Virgil van Dijk,nl,DF,Liverpool,32,1991,35.3,59,1.67,54,0,0,5,0,0,4,0.11,4,0,0,0,0,0,Matches
538,Raphaël Varane,fr,DF,Manchester Utd,30,1993,15.3,16,1.05,13,1,0,2,0,0,2,0.13,2,0,0,0,0,0,Matches
539,Alejo Véliz,ar,FW,Tottenham,19,2003,0.6,1,1.84,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
540,Joël Veltman,nl,DF,Brighton,31,1992,17.6,18,1.02,12,2,0,0,3,1,1,0.06,1,0,0,0,0,0,Matches
541,Micky van de Ven,nl,DF,Tottenham,22,2001,26.0,11,0.42,9,0,1,0,1,0,1,0.04,0,0,1,0,0,0,Matches
542,Bart Verbruggen,nl,GK,Brighton,20,2002,21.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
543,Guglielmo Vicario,it,GK,Tottenham,26,1996,38.0,2,0.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
544,Fabio Vieira,pt,"MF,FW",Arsenal,23,2000,3.3,12,3.64,7,1,0,1,3,0,5,1.52,1,1,0,0,3,0,Matches
545,Carlos Vinícius,br,FW,Fulham,28,1995,3.5,9,2.57,8,0,1,0,0,0,1,0.29,1,0,0,0,0,0,Matches
546,Vitinho,br,"DF,MF",Burnley,24,1999,25.7,44,1.71,33,2,4,3,1,1,6,0.23,5,0,0,0,1,0,Matches
547,Odisseas Vlachodimos,gr,GK,Nott'ham Forest,29,1994,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
548,Kyle Walker,eng,DF,Manchester City,33,1990,30.7,62,2.02,57,1,1,1,2,0,11,0.36,9,0,1,1,0,0,Matches
549,Aaron Wan-Bissaka,eng,DF,Manchester Utd,25,1997,19.8,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches
550,Joel Ward,eng,DF,Crystal Palace,33,1989,22.0,16,0.73,13,2,0,1,0,0,3,0.14,2,1,0,0,0,0,Matches
551,James Ward-Prowse,eng,MF,West Ham,28,1994,33.3,116,3.48,57,51,1,4,1,2,16,0.48,7,7,0,2,0,0,Matches
552,Lewis Warrington,eng,FW,Everton,20,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
