,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
61,Philip Billing,dk,MF,Bournemouth,27,1996,15.5,46,2.96,40,2,1,2,1,0,5,0.32,5,0,0,0,0,0,Matches
62,Yves Bissouma,ml,MF,Tottenham,26,1996,23.0,44,1.91,35,2,3,0,0,4,3,0.13,3,0,0,0,0,0,Matches
63,Benicio Boaitey,eng,"FW,DF",Brighton,19,2004,0.4,2,4.50,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Oscar Bobb,no,"FW,MF",Manchester City,20,2003,3.4,22,6.56,16,0,4,1,1,0,6,1.79,3,0,2,0,1,0,Matches
65,Jayden Bogle,eng,DF,Sheffield Utd,23,2000,31.0,33,1.07,26,1,3,1,2,0,1,0.03,0,0,0,1,0,0,Matches
66,Willy Boly,ci,DF,Nott'ham Forest,32,1991,16.0,16,1.00,14,0,0,2,0,0,2,0.13,2,0,0,0,0,0,Matches
67,Sven Botman,nl,DF,Newcastle Utd,23,2000,15.3,14,0.92,12,0,0,2,0,0,3,0.20,3,0,0,0,0,0,Matches
68,Jarrod Bowen,eng,FW,West Ham,26,1996,33.5,81,2.42,55,7,6,5,6,2,12,0.36,9,1,0,1,0,1,Matches
69,Conor Bradley,nir,DF,Liverpool,20,2003,8.4,27,3.22,18,1,3,2,1,2,3,0.36,2,1,0,0,0,0,Matches
70,Jarrad Branthwaite,eng,DF,Everton,21,2002,34.6,25,0.72,20,0,0,1,3,1,4,0.12,3,0,0,0,1,0,Matches
71,Ben Brereton,cl,"FW,MF",Sheffield Utd,24,1999,12.3,31,2.52,21,0,4,2,3,1,4,0.33,2,0,1,0,1,0,Matches
72,Rhian Brewster,eng,"FW,MF",Sheffield Utd,23,2000,3.8,7,1.82,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Armando Broja,al,FW,Chelsea,21,2001,5.0,8,1.59,5,0,1,0,2,0,1,0.20,0,0,0,0,1,0,Matches
74,Armando Broja,al,FW,Fulham,21,2001,1.0,1,1.01,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Andre Brooks,eng,"MF,DF",Sheffield Utd,19,2003,10.4,9,0.86,6,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
76,David Brooks,wls,"FW,MF",Bournemouth,26,1997,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0,Matches
77,Jacob Brown,sct,"MF,FW",Luton Town,25,1998,11.3,15,1.33,10,0,1,1,3,0,0,0.00,0,0,0,0,0,0,Matches
78,Josh Brownhill,eng,MF,Burnley,27,1995,25.0,70,2.80,43,19,1,3,3,1,6,0.24,5,1,0,0,0,0,Matches
79,Jacob Bruun Larsen,dk,"MF,FW",Burnley,24,1998,13.9,46,3.31,32,11,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
80,Hugo Bueno,es,"DF,MF",Wolves,20,2002,8.2,17,2.07,14,0,1,1,1,0,2,0.24,2,0,0,0,0,0,Matches
