,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
40,Carlos Baleba,cm,MF,Brighton,19,2004,14.7,0,21,5,23.8,1.43,0.34,0.00,0.00,24.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
41,Fodé Ballo-Touré,sn,"DF,MF",Fulham,26,1997,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,Shandon Baptiste,gd,MF,Brentford,25,1998,2.5,1,2,2,100.0,0.79,0.79,0.50,0.50,6.6,0,0,0,0.9,0.9,0.45,+0.1,+0.1,Matches
43,Valentín Barco,ar,"DF,FW",Brighton,19,2004,3.4,0,4,2,50.0,1.17,0.59,0.00,0.00,24.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
44,Ross Barkley,eng,MF,Luton Town,29,1993,29.1,5,66,19,28.8,2.27,0.65,0.08,0.26,21.5,6,0,0,4.1,4.1,0.06,+0.9,+0.9,Matches
45,Harvey Barnes,eng,"FW,MF",Newcastle Utd,25,1997,8.9,5,27,12,44.4,3.03,1.35,0.19,0.42,16.0,0,0,0,3.6,3.6,0.13,+1.4,+1.4,Matches
46,Chris Basham,eng,"DF,MF",Sheffield Utd,35,1988,3.6,0,2,0,0.0,0.56,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
47,Calvin Bassey,ng,DF,Fulham,23,1999,25.6,1,5,1,20.0,0.20,0.04,0.20,1.00,10.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
48,Owen Beck,wls,DF,Liverpool,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Donny van de Beek,nl,DF,Manchester Utd,26,1997,0.0,0,1,0,0.0,30.00,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
50,Amari'i Bell,jm,DF,Luton Town,29,1994,19.1,0,2,2,100.0,0.10,0.10,0.00,0.00,18.8,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
51,Jean-Ricner Bellegarde,fr,"MF,FW",Wolves,25,1998,10.6,2,15,5,33.3,1.41,0.47,0.13,0.40,16.5,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches
52,Anis Ben Slimane,tn,MF,Sheffield Utd,22,2001,4.7,0,8,3,37.5,1.72,0.64,0.00,0.00,18.2,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
53,Saïd Benrahma,dz,"FW,MF",West Ham,27,1995,6.9,0,18,5,27.8,2.61,0.73,0.00,0.00,19.8,0,0,1,1.8,1.0,0.06,-1.8,-1.0,Matches
54,Rodrigo Bentancur,uy,MF,Tottenham,26,1997,11.2,1,18,4,22.2,1.61,0.36,0.06,0.25,16.3,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
55,Daniel Bentley,eng,GK,Wolves,30,1993,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Jóhann Berg Guðmundsson,is,"MF,FW",Burnley,32,1990,13.2,1,15,6,40.0,1.13,0.45,0.07,0.17,15.6,1,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
57,Sander Berge,no,MF,Burnley,25,1998,33.4,1,25,3,12.0,0.75,0.09,0.04,0.33,17.6,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
58,Luke Berry,eng,"MF,DF",Luton Town,31,1992,3.6,2,8,4,50.0,2.23,1.11,0.25,0.50,10.9,0,0,0,1.0,1.0,0.13,+1.0,+1.0,Matches
59,Beto,gw,FW,Everton,25,1998,10.6,3,42,12,28.6,3.97,1.14,0.07,0.25,14.7,0,0,1,6.8,6.0,0.14,-3.8,-3.0,Matches
60,Jordan Beyer,de,DF,Burnley,23,2000,13.7,0,5,0,0.0,0.36,0.00,0.00,,8.2,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
61,Philip Billing,dk,MF,Bournemouth,27,1996,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,20.6,7,0,0,2.5,2.5,0.08,-0.5,-0.5,Matches
62,Yves Bissouma,ml,MF,Tottenham,26,1996,23.0,0,24,5,20.8,1.04,0.22,0.00,0.00,25.0,1,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches
63,Benicio Boaitey,eng,"FW,DF",Brighton,19,2004,0.4,0,1,0,0.0,2.25,0.00,0.00,,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
64,Oscar Bobb,no,"FW,MF",Manchester City,20,2003,3.4,1,4,1,25.0,1.19,0.30,0.25,1.00,11.1,0,0,0,1.4,1.4,0.35,-0.4,-0.4,Matches
65,Jayden Bogle,eng,DF,Sheffield Utd,23,2000,31.0,3,32,11,34.4,1.03,0.36,0.09,0.27,16.2,0,0,0,2.3,2.3,0.07,+0.7,+0.7,Matches
66,Willy Boly,ci,DF,Nott'ham Forest,32,1991,16.0,2,14,6,42.9,0.88,0.38,0.14,0.33,10.4,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches
67,Sven Botman,nl,DF,Newcastle Utd,23,2000,15.3,2,10,2,20.0,0.65,0.13,0.20,1.00,10.5,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
68,Jarrod Bowen,eng,FW,West Ham,26,1996,33.5,16,84,37,44.0,2.50,1.10,0.19,0.43,14.2,0,0,0,11.6,11.6,0.14,+4.4,+4.4,Matches
69,Conor Bradley,nir,DF,Liverpool,20,2003,8.4,1,12,4,33.3,1.43,0.48,0.08,0.25,17.3,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
70,Jarrad Branthwaite,eng,DF,Everton,21,2002,34.6,3,14,4,28.6,0.40,0.12,0.21,0.75,11.6,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches
71,Ben Brereton,cl,"FW,MF",Sheffield Utd,24,1999,12.3,6,34,16,47.1,2.77,1.30,0.15,0.31,14.5,0,1,1,6.1,5.3,0.16,-0.1,-0.3,Matches
72,Rhian Brewster,eng,"FW,MF",Sheffield Utd,23,2000,3.8,0,7,3,42.9,1.82,0.78,0.00,0.00,23.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
73,Armando Broja,al,FW,Chelsea,21,2001,5.0,1,13,2,15.4,2.58,0.40,0.08,0.50,11.1,0,0,0,2.4,2.4,0.18,-1.4,-1.4,Matches
74,Armando Broja,al,FW,Fulham,21,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
75,Andre Brooks,eng,"MF,DF",Sheffield Utd,19,2003,10.4,0,9,2,22.2,0.86,0.19,0.00,0.00,19.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
76,David Brooks,wls,"FW,MF",Bournemouth,26,1997,3.1,1,13,5,38.5,4.15,1.60,0.08,0.20,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches
77,Jacob Brown,sct,"MF,FW",Luton Town,25,1998,11.3,2,26,6,23.1,2.30,0.53,0.08,0.33,14.1,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches
78,Josh Brownhill,eng,MF,Burnley,27,1995,25.0,4,28,11,39.3,1.12,0.44,0.14,0.36,21.8,0,0,0,1.9,1.9,0.07,+2.1,+2.1,Matches
79,Jacob Bruun Larsen,dk,"MF,FW",Burnley,24,1998,13.9,6,43,14,32.6,3.10,1.01,0.12,0.36,19.2,11,1,1,5.0,4.2,0.10,+1.0,+0.8,Matches
80,Hugo Bueno,es,"DF,MF",Wolves,20,2002,8.2,0,5,0,0.0,0.61,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
81,Santiago Bueno,uy,DF,Wolves,24,1998,9.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
82,Facundo Buonanotte,ar,"FW,MF",Brighton,18,2004,15.2,3,21,8,38.1,1.39,0.53,0.14,0.38,16.8,0,0,0,2.4,2.4,0.11,+0.6,+0.6,Matches
83,Reece Burke,eng,DF,Luton Town,26,1996,18.4,0,13,3,23.1,0.70,0.16,0.00,0.00,14.3,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
84,Dan Burn,eng,DF,Newcastle Utd,31,1992,30.3,2,23,5,21.7,0.76,0.17,0.09,0.40,8.1,0,0,0,3.1,3.1,0.14,-1.1,-1.1,Matches
85,Mason Burstow,eng,FW,Chelsea,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,Moisés Caicedo,ec,MF,Chelsea,21,2001,31.8,1,13,4,30.8,0.41,0.13,0.08,0.25,29.0,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
87,Tom Cairney,sct,MF,Fulham,32,1991,16.5,1,17,8,47.1,1.03,0.48,0.06,0.13,21.2,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
88,Dominic Calvert-Lewin,eng,FW,Everton,26,1997,24.1,7,71,28,39.4,2.94,1.16,0.07,0.18,13.9,1,2,2,12.9,11.4,0.16,-5.9,-6.4,Matches
89,Thomas Cannon,ie,FW,Everton,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Diego Carlos,br,DF,Aston Villa,30,1993,20.2,0,10,1,10.0,0.50,0.05,0.00,0.00,9.1,0,0,0,1.9,1.9,0.19,-1.9,-1.9,Matches
91,Cesare Casadei,it,"FW,MF",Chelsea,20,2003,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Casemiro,br,"MF,DF",Manchester Utd,31,1992,22.0,1,39,9,23.1,1.77,0.41,0.03,0.11,17.1,1,0,0,3.5,3.5,0.09,-2.5,-2.5,Matches
