,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
154,Alfie Doughty,eng,DF,Luton Town,23,1999,32.5,1121,1686,66.5,20956,8325,496,571,86.9,431,571,75.5,166,426,39.0,8,6.3,5.4,+1.7,70,71,43,24,106,Matches
155,Tommy Doyle,eng,MF,Wolves,21,2001,13.6,801,955,83.9,15164,4208,309,331,93.4,361,399,90.5,106,178,59.6,0,0.4,0.9,-0.4,8,86,7,2,81,Matches
156,Radu Drăgușin,ro,DF,Tottenham,21,2002,4.8,326,370,88.1,5633,1782,130,148,87.8,185,198,93.4,8,16,50.0,0,0.0,0.0,0.0,0,10,0,0,8,Matches
157,Martin Dúbravka,sk,GK,Newcastle Utd,34,1989,22.1,519,651,79.7,11869,6941,133,135,98.5,273,278,98.2,109,232,47.0,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
158,Paul Dummett,wls,DF,Newcastle Utd,31,1991,0.2,21,23,91.3,320,76,10,10,100.0,11,12,91.7,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
159,Lewis Dunk,eng,DF,Brighton,31,1991,31.9,2977,3233,92.1,50791,19478,1343,1382,97.2,1340,1417,94.6,216,340,63.5,1,0.9,2.2,+0.1,13,204,8,1,152,Matches
160,Jhon Durán,co,"FW,MF",Aston Villa,19,2003,5.3,83,121,68.6,1095,220,51,69,73.9,24,29,82.8,3,5,60.0,0,0.3,0.2,-0.3,4,6,1,0,9,Matches
161,George Earthy,eng,FW,West Ham,18,2004,0.4,16,17,94.1,183,43,12,13,92.3,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
162,Ederson,br,GK,Manchester City,29,1993,30.9,1077,1234,87.3,25898,17578,275,276,99.6,560,570,98.2,239,381,62.7,0,0.1,0.1,-0.1,1,25,1,0,4,Matches
163,Odsonne Édouard,fr,"FW,MF",Crystal Palace,25,1998,17.3,249,350,71.1,3106,704,164,207,79.2,61,80,76.3,7,11,63.6,0,1.2,1.1,-1.2,18,12,15,1,36,Matches
164,John Egan,ie,DF,Sheffield Utd,30,1992,5.4,128,185,69.2,2449,988,38,49,77.6,79,92,85.9,9,38,23.7,0,0.0,0.0,0.0,0,5,1,0,5,Matches
165,Hjalmar Ekdal,se,DF,Burnley,24,1998,4.9,191,217,88.0,3404,938,66,71,93.0,109,120,90.8,12,17,70.6,0,0.1,0.0,-0.1,1,8,0,0,11,Matches
166,Anthony Elanga,se,"FW,MF",Nott'ham Forest,21,2002,27.0,498,712,69.9,6655,1569,313,391,80.1,143,211,67.8,15,28,53.6,9,6.7,4.0,+2.3,32,28,24,5,49,Matches
167,Harvey Elliott,eng,"MF,FW",Liverpool,20,2003,15.0,825,986,83.7,13081,3101,457,496,92.1,278,323,86.1,66,105,62.9,6,3.5,4.6,+2.5,37,76,45,11,128,Matches
168,Mohamed Elneny,eg,MF,Arsenal,31,1992,0.3,39,40,97.5,624,147,18,19,94.7,21,21,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
169,Emerson,br,DF,Tottenham,24,1999,12.9,937,1038,90.3,13652,3714,529,558,94.8,339,362,93.6,32,45,71.1,0,0.4,0.9,-0.4,3,42,7,2,57,Matches
170,Julio Enciso,py,"MF,FW",Brighton,19,2004,5.3,132,178,74.2,1842,562,77,89,86.5,41,58,70.7,9,12,75.0,2,1.7,1.3,+0.3,9,12,4,2,21,Matches
