,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
202,Lewis Dunk,eng,DF,Brighton,31,1991,33,"2,869",87,83.9,31.9,33,87,29,0,,0,1.30,49,52,-3,-0.09,+0.56,46.0,46.4,-0.4,-0.01,-0.31,Matches
203,Jhon Durán,co,"FW,MF",Aston Villa,19,2003,23,475,21,13.9,5.3,3,68,1,20,14,5,1.74,15,12,+3,+0.57,+0.20,8.6,11.3,-2.6,-0.50,-0.68,Matches
204,Kiano Dyer,eng,MF,Chelsea,16,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
205,George Earthy,eng,FW,West Ham,18,2004,3,34,11,1.0,0.4,0,,0,3,11,6,1.00,1,0,+1,+2.65,+3.05,1.2,0.1,+1.0,+2.75,+3.27,Matches
206,Malcolm Ebiowei,eng,MF,Crystal Palace,19,2003,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
207,Ederson,br,GK,Manchester City,29,1993,33,"2,785",84,81.4,30.9,33,84,29,0,,2,2.36,78,27,+51,+1.65,+0.09,66.8,28.0,+38.7,+1.25,+0.37,Matches
208,Odsonne Édouard,fr,"FW,MF",Crystal Palace,25,1998,30,"1,555",52,45.5,17.3,17,81,5,13,14,3,1.23,14,24,-10,-0.58,-1.01,19.6,20.6,-1.0,-0.06,+0.06,Matches
209,John Egan,ie,DF,Sheffield Utd,30,1992,6,482,80,14.1,5.4,6,80,4,0,,0,0.17,4,17,-13,-2.43,-0.71,3.5,14.6,-11.1,-2.06,-1.23,Matches
210,CJ Egan-Riley,eng,DF,Burnley,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
211,Hjalmar Ekdal,se,DF,Burnley,24,1998,8,437,55,12.8,4.9,5,75,0,3,21,12,0.88,2,8,-6,-1.24,-0.30,5.1,7.7,-2.6,-0.54,+0.28,Matches
212,Anthony Elanga,se,"FW,MF",Nott'ham Forest,21,2002,36,"2,433",68,71.1,27.0,25,86,15,11,27,0,0.97,40,47,-7,-0.26,+0.74,39.1,39.7,-0.7,-0.02,+0.21,Matches
213,Harvey Elliott,eng,"MF,FW",Liverpool,20,2003,34,"1,352",40,39.5,15.0,11,77,4,23,22,4,2.15,41,13,+28,+1.86,+1.12,37.2,18.6,+18.6,+1.24,+0.22,Matches
214,Mohamed Elneny,eg,MF,Arsenal,31,1992,3,28,9,0.8,0.3,0,,0,3,9,13,3.00,1,0,+1,+3.21,+1.60,0.8,0.1,+0.7,+2.24,+0.98,Matches
215,Emerson,br,DF,Tottenham,24,1999,22,"1,161",53,33.9,12.9,11,86,8,11,19,16,1.64,22,31,-9,-0.70,-1.57,18.5,28.3,-9.8,-0.76,-1.34,Matches
216,Lander Emery,eng,GK,Aston Villa,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
217,Yunus Emre Konak,tr,MF,Brentford,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
218,Julio Enciso,py,"MF,FW",Brighton,19,2004,12,475,40,13.9,5.3,5,65,0,7,22,1,1.25,8,12,-4,-0.76,-0.67,8.6,9.9,-1.3,-0.25,-0.33,Matches
219,Wataru Endo,jp,MF,Liverpool,30,1993,29,"1,722",59,50.4,19.1,20,79,11,9,15,4,2.21,42,16,+26,+1.36,+0.35,45.5,22.5,+22.9,+1.20,+0.19,Matches
220,Christian Eriksen,dk,MF,Manchester Utd,31,1992,22,"1,141",52,33.4,12.7,12,78,5,10,20,11,1.45,20,27,-7,-0.55,-0.79,19.2,20.1,-0.9,-0.07,+0.39,Matches
221,Maxime Estève,fr,DF,Burnley,21,2002,16,"1,309",82,38.3,14.5,15,84,12,1,45,0,0.75,18,28,-10,-0.69,+0.46,19.4,28.7,-9.3,-0.64,+0.23,Matches
222,Pervis Estupiñán,ec,DF,Brighton,25,1998,19,"1,243",65,36.3,13.8,15,76,9,4,24,1,1.47,23,26,-3,-0.22,-0.05,21.6,25.8,-4.2,-0.30,-0.54,Matches
223,Jonny Evans,nir,DF,Manchester Utd,35,1988,23,"1,392",61,40.7,15.5,15,85,9,8,15,3,1.65,21,24,-3,-0.19,-0.28,18.0,27.4,-9.4,-0.61,-0.47,Matches
224,Eberechi Eze,eng,"MF,FW",Crystal Palace,25,1998,27,"2,055",76,60.1,22.8,24,83,12,3,18,0,1.56,41,28,+13,+0.57,+1.49,32.2,30.9,+1.3,+0.06,+0.36,Matches
225,Łukasz Fabiański,pl,GK,West Ham,38,1985,10,721,72,21.1,8.0,7,90,7,3,30,27,1.10,11,21,-10,-1.25,-1.11,10.7,16.8,-6.1,-0.76,-0.34,Matches
226,Romain Faivre,fr,"MF,FW",Bournemouth,25,1998,5,41,8,1.2,0.5,0,,0,5,8,8,0.40,0,1,-1,-2.20,-1.88,0.6,0.2,+0.5,+1.01,+1.08,Matches
227,Ansu Fati,es,"MF,FW",Brighton,20,2002,19,521,27,15.2,5.8,3,50,0,16,23,5,1.26,13,12,+1,+0.17,+0.42,10.2,7.0,+3.2,+0.56,+0.61,Matches
228,Felipe,br,DF,Nott'ham Forest,34,1989,7,375,54,11.0,4.2,4,75,2,3,25,5,0.75,4,11,-7,-1.68,-1.35,5.7,6.3,-0.6,-0.14,-0.06,Matches
229,Evan Ferguson,ie,FW,Brighton,18,2004,27,"1,367",51,40.0,15.2,15,71,4,12,25,1,1.48,24,28,-4,-0.26,-0.13,21.5,21.1,+0.4,+0.02,-0.02,Matches
230,Bruno Fernandes,pt,"MF,FW",Manchester Utd,28,1994,35,"3,118",89,91.2,34.6,35,89,33,0,,0,1.69,55,52,+3,+0.09,+1.28,53.8,63.3,-9.5,-0.27,+0.61,Matches
231,Enzo Fernández,ar,MF,Chelsea,22,2001,28,"2,209",79,64.6,24.5,26,84,18,2,16,0,1.46,41,47,-6,-0.24,-1.73,43.7,39.4,+4.2,+0.17,-0.73,Matches
232,John Fleck,sct,"MF,DF",Sheffield Utd,31,1991,4,92,23,2.7,1.0,1,45,0,3,16,5,0.00,1,5,-4,-3.91,-2.16,1.0,3.0,-2.0,-1.92,-0.94,Matches
233,Mark Flekken,nl,GK,Brentford,30,1993,37,"3,285",89,96.1,36.5,37,89,36,0,,0,1.05,53,63,-10,-0.27,-0.94,56.8,54.3,+2.5,+0.07,+0.23,Matches
234,Phil Foden,eng,"FW,MF",Manchester City,23,2000,35,"2,857",82,83.5,31.7,33,85,19,2,25,2,2.34,75,27,+48,+1.51,-0.73,65.4,28.8,+36.6,+1.15,-0.18,Matches
235,Wes Foderingham,eng,GK,Sheffield Utd,32,1991,30,"2,649",88,77.5,29.4,29,90,29,1,39,8,0.43,24,79,-55,-1.87,-0.23,29.0,62.2,-33.2,-1.13,-0.53,Matches
236,Pablo Fornals,es,"MF,FW",West Ham,27,1996,15,426,28,12.5,4.7,4,78,2,11,11,6,1.67,6,9,-3,-0.63,-0.30,6.7,9.6,-2.8,-0.60,-0.12,Matches
237,Omari Forson,eng,FW,Manchester Utd,19,2004,4,70,18,2.0,0.8,1,52,0,3,6,9,0.75,1,2,-1,-1.29,-1.29,1.4,0.9,+0.5,+0.59,+0.94,Matches
238,Fraser Forster,eng,GK,Tottenham,35,1988,0,,,,,0,,0,0,,23,,,,,,,,,,,,Matches
239,Lyle Foster,za,"FW,MF",Burnley,22,2000,24,"1,899",79,55.5,21.1,22,84,10,2,24,0,0.79,22,43,-21,-1.00,-0.05,21.9,41.2,-19.3,-0.92,-0.30,Matches
240,Matheus França,br,"MF,FW",Crystal Palace,19,2004,10,232,23,6.8,2.6,1,83,0,9,17,9,0.70,7,7,0,0.00,+0.03,4.3,3.5,+0.8,+0.32,+0.43,Matches
241,Aidan Francis,eng,DF,Luton Town,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
242,Tyrese Francois,au,MF,Fulham,23,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
243,Nathan Fraser,ie,FW,Wolves,18,2005,7,186,27,5.4,2.1,1,76,0,6,18,13,0.57,4,3,+1,+0.48,+0.93,2.8,3.3,-0.5,-0.22,+0.35,Matches
244,Benjamin Fredrick,ng,DF,Brentford,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
245,Remo Freuler,ch,MF,Nott'ham Forest,31,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
246,Cody Gakpo,nl,"FW,MF",Liverpool,24,1999,35,"1,649",47,48.2,18.3,17,73,3,18,23,0,2.23,52,20,+32,+1.75,+1.09,46.4,23.8,+22.6,+1.23,+0.24,Matches
247,Conor Gallagher,eng,MF,Chelsea,23,2000,37,"3,128",85,91.5,34.8,37,85,28,0,,0,1.70,69,55,+14,+0.40,+0.40,67.8,49.8,+18.0,+0.52,+0.99,Matches
248,Idrissa Gana Gueye,sn,MF,Everton,33,1989,25,"1,884",75,55.1,20.9,24,77,12,1,45,3,1.36,23,25,-2,-0.10,+0.43,30.8,28.7,+2.1,+0.10,+0.29,Matches
249,Joe Gardner,eng,DF,Nott'ham Forest,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
250,Alejandro Garnacho,ar,FW,Manchester Utd,19,2004,36,"2,565",71,75.0,28.5,30,82,12,6,19,2,1.50,44,39,+5,+0.18,+0.81,42.0,50.8,-8.8,-0.31,+0.07,Matches
251,James Garner,eng,MF,Everton,22,2001,37,"3,004",81,87.8,33.4,34,86,29,3,22,0,1.22,36,47,-11,-0.33,-0.33,48.5,47.8,+0.7,+0.02,+0.43,Matches
252,Joe Gauci,au,GK,Aston Villa,23,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
253,Tyrique George,eng,FW,Chelsea,17,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
254,Saman Ghoddos,ir,DF,Brentford,29,1993,19,739,39,21.6,8.2,7,88,5,12,10,13,0.74,10,20,-10,-1.22,-1.25,13.8,12.9,+1.0,+0.12,+0.07,Matches
255,Morgan Gibbs-White,eng,"MF,FW",Nott'ham Forest,23,2000,37,"3,156",85,92.3,35.1,35,88,27,2,38,0,0.97,46,59,-13,-0.37,+1.33,47.2,49.1,-1.9,-0.05,+0.43,Matches
256,Bryan Gil,es,"FW,MF",Tottenham,22,2001,11,209,19,6.1,2.3,2,58,0,9,10,13,1.09,4,11,-7,-3.01,-3.57,5.3,7.3,-2.0,-0.85,-1.04,Matches
257,Alfie Gilchrist,eng,DF,Chelsea,19,2003,11,207,19,6.1,2.3,2,81,0,9,5,14,2.27,8,6,+2,+0.87,+0.53,6.2,5.4,+0.8,+0.36,-0.08,Matches
258,Mark Gillespie,eng,GK,Newcastle Utd,31,1992,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
259,Billy Gilmour,sct,MF,Brighton,22,2001,30,"2,120",71,62.0,23.6,24,83,13,6,22,1,1.40,40,37,+3,+0.13,+0.82,40.2,34.5,+5.7,+0.24,+0.54,Matches
260,Ben Godfrey,eng,DF,Everton,25,1998,15,"1,120",75,32.7,12.4,13,86,10,2,1,23,1.07,12,13,-1,-0.08,+0.31,17.4,18.3,-0.9,-0.07,-0.06,Matches
261,André Gomes,pt,"MF,FW",Everton,30,1993,12,508,42,14.9,5.6,3,73,1,9,32,4,0.92,6,7,-1,-0.18,+0.13,6.2,8.2,-2.0,-0.35,-0.38,Matches
262,João Gomes,br,MF,Wolves,22,2001,34,"2,649",78,77.5,29.4,32,82,18,2,7,1,1.32,38,51,-13,-0.44,-0.21,33.2,53.2,-20.0,-0.68,-0.56,Matches
263,Toti Gomes,pt,DF,Wolves,24,1999,35,"2,772",79,81.1,30.8,31,86,23,4,29,3,1.31,42,49,-7,-0.23,+0.88,37.0,53.2,-16.1,-0.52,+0.15,Matches
264,Joe Gomez,eng,DF,Liverpool,26,1997,32,"1,786",56,52.2,19.8,17,85,12,15,23,4,2.22,47,19,+28,+1.41,+0.47,46.9,27.0,+19.9,+1.00,-0.22,Matches
265,Sergio Gómez,es,"FW,MF",Manchester City,22,2000,6,53,9,1.5,0.6,0,,0,6,9,26,3.00,3,2,+1,+1.70,+0.07,1.7,1.5,+0.2,+0.30,-0.89,Matches
266,Enso Gonzalez,py,"MF,DF",Wolves,18,2005,1,1,1,0.0,0.0,0,,0,1,1,4,0.00,0,0,0,0.00,+0.39,0.1,0.0,+0.1,+5.65,+6.20,Matches
267,Charlie Goode,eng,DF,Brentford,27,1995,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
268,Anthony Gordon,eng,FW,Newcastle Utd,22,2001,35,"2,890",83,84.5,32.1,34,83,16,1,79,0,1.57,71,48,+23,+0.72,+0.72,62.2,50.4,+11.8,+0.37,-0.11,Matches
269,John-Kymani Gordon,eng,"FW,MF",Crystal Palace,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
270,Kaide Gordon,eng,FW,Liverpool,18,2004,1,1,1,0.0,0.0,0,,0,1,1,1,3.00,0,0,0,0.00,-1.18,0.0,0.4,-0.4,-39.59,-40.70,Matches
271,Daniel Gore,eng,MF,Manchester Utd,18,2004,1,1,1,0.0,0.0,0,,0,1,1,6,3.00,0,0,0,0.00,+0.03,0.0,0.0,0.0,0.00,+0.33,Matches
272,Ryan Gravenberch,nl,MF,Liverpool,21,2002,26,"1,121",43,32.8,12.5,12,68,1,14,22,5,2.23,28,17,+11,+0.88,-0.45,27.0,15.0,+12.0,+0.96,-0.21,Matches
273,Ivo Grbić,hr,GK,Sheffield Utd,27,1996,9,771,86,22.5,8.6,9,86,8,0,,5,0.33,11,25,-14,-1.63,+0.23,9.3,14.5,-5.2,-0.60,+0.53,Matches
274,Jack Grealish,eng,"FW,MF",Manchester City,27,1995,20,"1,009",50,29.5,11.2,10,83,7,10,18,9,2.45,26,13,+13,+1.16,-0.67,23.2,12.8,+10.4,+0.92,-0.37,Matches
275,Ben Greenwood,ie,DF,Bournemouth,20,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
276,Harvey Griffiths,eng,MF,Wolves,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
277,Pascal Groß,de,"MF,DF",Brighton,32,1991,36,"3,114",87,91.1,34.6,34,90,32,2,33,0,1.25,50,50,0,0.00,+2.06,52.1,50.3,+1.8,+0.05,+0.18,Matches
278,Marc Guéhi,eng,DF,Crystal Palace,23,2000,25,"2,021",81,59.1,22.5,23,86,19,2,17,0,1.32,30,32,-2,-0.09,-0.15,28.2,30.3,-2.1,-0.09,-0.01,Matches
279,Bruno Guimarães,br,MF,Newcastle Utd,25,1997,37,"3,263",88,95.4,36.3,37,88,31,0,,0,1.62,81,60,+21,+0.58,-0.57,74.0,57.4,+16.7,+0.46,+1.63,Matches
280,Malo Gusto,fr,DF,Chelsea,20,2003,27,"1,751",65,51.2,19.5,19,83,8,8,21,1,1.81,38,27,+11,+0.57,+0.40,40.0,23.5,+16.5,+0.85,+0.86,Matches
281,Joško Gvardiol,hr,DF,Manchester City,21,2002,28,"2,328",83,68.1,25.9,26,87,22,2,30,7,2.50,68,23,+45,+1.74,+0.34,57.4,24.8,+32.7,+1.26,+0.25,Matches
282,Erling Haaland,no,FW,Manchester City,23,2000,31,"2,552",82,74.6,28.4,29,86,20,2,25,1,2.32,65,25,+40,+1.41,-0.87,59.5,26.2,+33.4,+1.18,-0.02,Matches
283,Antwoine Hackford,eng,FW,Sheffield Utd,19,2004,2,13,7,0.4,0.1,0,,0,2,7,0,0.00,0,1,-1,-6.92,-5.13,0.0,0.1,-0.1,-0.65,+0.36,Matches
284,Lewis Hall,eng,DF,Newcastle Utd,18,2004,18,781,43,22.8,8.7,8,82,3,10,13,15,1.44,23,12,+11,+1.27,+0.86,22.0,12.9,+9.2,+1.06,+0.87,Matches
285,Tyrese Hall,eng,MF,Tottenham,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
286,Gustavo Hamer,nl,MF,Sheffield Utd,26,1997,36,"2,910",81,85.1,32.3,34,83,18,2,39,0,0.44,31,83,-52,-1.61,+1.39,34.0,62.5,-28.6,-0.88,+0.84,Matches
287,Micah Hamilton,eng,MF,Manchester City,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
288,Owen Hampson,eng,MF,Sheffield Utd,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
289,Luke Harris,wls,MF,Fulham,18,2005,1,75,75,2.2,0.8,0,,0,1,75,4,0.00,1,5,-4,-4.80,-4.75,1.4,2.2,-0.8,-0.92,-0.62,Matches
290,Taylan Harris,eng,FW,Luton Town,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
291,Jack Harrison,eng,"MF,FW",Everton,26,1996,29,"2,214",76,64.7,24.6,25,84,17,4,31,1,1.38,27,26,+1,+0.04,+0.94,32.5,33.6,-1.0,-0.04,-0.03,Matches
292,Ollie Harrison,eng,MF,Chelsea,15,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
293,Daiki Hashioka,jp,DF,Luton Town,24,1999,10,595,60,17.4,6.6,6,77,3,4,33,3,0.40,10,21,-11,-1.66,-0.96,7.5,12.5,-5.0,-0.75,+0.22,Matches
294,Kai Havertz,de,"MF,FW",Arsenal,24,1999,37,"2,634",71,77.0,29.3,30,83,18,7,19,0,2.41,77,22,+55,+1.88,+1.08,60.7,20.6,+40.1,+1.37,+0.44,Matches
295,Travis Hearnes,no,MF,Newcastle Utd,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
296,Tom Heaton,eng,GK,Manchester Utd,37,1986,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
297,Jan Paul van Hecke,nl,DF,Brighton,23,2000,28,"2,369",85,69.3,26.3,26,90,26,2,15,4,1.32,40,38,+2,+0.08,+0.85,38.7,37.2,+1.5,+0.06,+0.06,Matches
298,Hwang Hee-chan,kr,"FW,MF",Wolves,27,1996,29,"2,119",73,62.0,23.5,25,80,14,4,32,0,1.31,35,37,-2,-0.08,+0.81,29.2,39.3,-10.1,-0.43,+0.32,Matches
299,Dean Henderson,eng,GK,Manchester Utd,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
300,Dean Henderson,eng,GK,Crystal Palace,26,1997,18,"1,620",90,47.4,18.0,18,90,18,0,,7,1.56,36,30,+6,+0.33,+0.68,23.1,25.6,-2.6,-0.14,-0.10,Matches
301,Wayne Hennessey,wls,GK,Nott'ham Forest,36,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
302,Rico Henry,eng,DF,Brentford,26,1997,5,401,80,11.7,4.5,5,80,4,0,,0,1.20,8,5,+3,+0.67,+1.03,9.8,5.1,+4.7,+1.05,+1.12,Matches
303,Owen Hesketh,wls,MF,Wolves,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
304,Son Heung-min,kr,FW,Tottenham,31,1992,35,"2,934",84,85.8,32.6,34,85,19,1,29,0,1.74,63,51,+12,+0.37,+0.18,59.4,53.9,+5.4,+0.17,+0.29,Matches
305,Aaron Hickey,sct,DF,Brentford,21,2002,9,713,79,20.8,7.9,9,79,2,0,,0,1.11,10,12,-2,-0.25,-0.02,10.3,10.3,+0.1,+0.01,-0.07,Matches
306,James Hill,eng,DF,Bournemouth,21,2002,5,76,15,2.2,0.8,1,54,0,4,6,10,2.00,1,1,0,0.00,+0.35,1.5,1.3,+0.2,+0.20,+0.27,Matches
307,Jack Hinshelwood,eng,DF,Brighton,18,2005,12,869,72,25.4,9.7,8,81,3,4,56,4,1.33,15,17,-2,-0.21,-0.03,16.4,14.5,+1.9,+0.20,+0.22,Matches
308,Joseph Hodge,ie,MF,Wolves,20,2002,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
309,Rob Holding,eng,DF,Crystal Palace,27,1995,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
310,Mason Holgate,eng,DF,Sheffield Utd,26,1996,10,710,71,20.8,7.9,9,76,4,1,22,2,0.50,11,22,-11,-1.39,+0.53,9.4,14.2,-4.8,-0.61,+0.51,Matches
311,Fletcher Holman,eng,FW,Wolves,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
312,Ethan Horvath,us,GK,Nott'ham Forest,28,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
313,Justin Hubner,id,DF,Wolves,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
314,Callum Hudson-Odoi,eng,"FW,MF",Nott'ham Forest,22,2000,29,"1,854",64,54.2,20.6,20,82,9,9,24,1,0.86,32,41,-9,-0.44,+0.08,32.4,28.2,+4.2,+0.21,+0.64,Matches
315,Will Hughes,eng,MF,Crystal Palace,28,1995,30,"1,891",63,55.3,21.0,23,78,8,7,15,1,1.23,29,38,-9,-0.43,-0.90,23.1,29.4,-6.3,-0.30,-0.47,Matches
316,Joe Hugill,eng,FW,Manchester Utd,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
317,Bashir Humphreys,eng,DF,Chelsea,20,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
318,Mackenzie Hunt,ae,DF,Everton,21,2001,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
319,Pierre Højbjerg,dk,MF,Tottenham,27,1995,36,"1,311",36,38.3,14.6,8,83,4,28,23,2,1.81,31,28,+3,+0.21,-0.22,27.6,25.4,+2.2,+0.15,+0.04,Matches
320,Rasmus Højlund,dk,FW,Manchester Utd,20,2003,30,"2,158",72,63.1,24.0,25,81,8,5,26,0,1.60,36,35,+1,+0.04,+0.18,35.1,40.9,-5.8,-0.24,+0.23,Matches
321,Bradley Ibrahim,eng,MF,Arsenal,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
322,Igor,br,DF,Brighton,25,1998,24,"1,637",68,47.9,18.2,17,82,11,7,34,10,1.17,22,26,-4,-0.22,-0.07,26.6,24.3,+2.3,+0.13,+0.17,Matches
323,Danny Ings,eng,FW,West Ham,31,1992,20,404,20,11.8,4.5,3,80,1,17,10,18,0.95,5,10,-5,-1.11,-0.85,6.8,10.6,-3.8,-0.85,-0.40,Matches
324,Tim Iroegbunam,eng,MF,Aston Villa,20,2003,9,164,18,4.8,1.8,1,62,0,8,13,16,1.44,2,7,-5,-2.74,-3.30,2.0,5.3,-3.3,-1.82,-2.00,Matches
325,Alexander Isak,se,FW,Newcastle Utd,23,1999,30,"2,255",75,65.9,25.1,27,80,13,3,32,1,1.50,51,41,+10,+0.40,-0.61,51.2,43.1,+8.1,+0.32,-0.19,Matches
326,Alex Iwobi,ng,MF,Everton,27,1996,2,140,70,4.1,1.6,2,70,1,0,,0,0.00,0,3,-3,-1.93,-1.71,2.9,3.3,-0.3,-0.21,-0.18,Matches
327,Alex Iwobi,ng,"FW,MF",Fulham,27,1996,30,"2,192",73,64.1,24.4,25,81,9,5,34,0,1.27,38,38,0,0.00,+0.44,34.7,33.9,+0.7,+0.03,+0.97,Matches
328,Ben Jackson,eng,DF,Brighton,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
329,Louis Jackson,sct,DF,Manchester Utd,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
330,Nicolas Jackson,sn,FW,Chelsea,22,2001,35,"2,799",80,81.8,31.1,31,86,17,4,31,0,1.63,65,48,+17,+0.55,+0.98,64.3,46.5,+17.7,+0.57,+0.76,Matches
331,Karl Jakob Hein,ee,GK,Arsenal,21,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
332,Reece James,eng,DF,Chelsea,23,1999,10,419,42,12.3,4.7,5,62,0,5,21,0,1.20,8,11,-3,-0.64,-1.15,8.1,9.6,-1.5,-0.33,-0.87,Matches
333,Vitaly Janelt,de,"MF,DF",Brentford,25,1998,38,"3,054",80,89.3,33.9,37,82,16,1,18,0,1.03,50,52,-2,-0.06,+1.66,50.8,47.7,+3.1,+0.09,+0.31,Matches
334,Daniel Jebbison,eng,FW,Sheffield Utd,19,2003,1,21,21,0.6,0.2,0,,0,1,21,0,0.00,0,0,0,0.00,+1.83,0.1,1.0,-0.9,-3.85,-2.85,Matches
335,Mathias Jensen,dk,MF,Brentford,27,1996,32,"2,204",69,64.4,24.5,27,77,5,5,27,0,1.09,37,45,-8,-0.33,-0.25,34.8,36.8,-2.1,-0.08,-0.40,Matches
336,Gabriel Jesus,br,FW,Arsenal,26,1997,27,"1,478",55,43.2,16.4,17,78,4,10,16,3,2.19,29,11,+18,+1.10,-0.94,31.3,11.4,+19.9,+1.21,-0.10,Matches
337,Raúl Jiménez,mx,FW,Fulham,32,1991,24,"1,395",58,40.8,15.5,18,71,4,6,19,5,1.25,25,26,-1,-0.06,+0.16,17.3,28.8,-11.5,-0.74,-0.71,Matches
338,Kim Jisoo,kr,DF,Brentford,18,2004,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
339,João Pedro,br,"FW,MF",Brighton,21,2001,31,"2,045",66,59.8,22.7,19,85,9,12,36,0,1.29,32,38,-6,-0.26,-0.20,36.3,32.0,+4.2,+0.19,+0.37,Matches
340,Joelinton,br,"MF,FW",Newcastle Utd,26,1996,20,"1,279",64,37.4,14.2,15,79,8,5,18,0,1.45,26,23,+3,+0.21,-0.63,26.6,24.7,+1.9,+0.13,-0.41,Matches
341,Ryan John Giles,eng,"DF,MF",Luton Town,23,2000,11,503,46,14.7,5.6,5,81,2,6,17,9,0.64,5,14,-9,-1.61,-0.87,5.3,13.3,-8.1,-1.44,-0.60,Matches
342,Ben Johnson,eng,"DF,FW",West Ham,23,2000,14,544,39,15.9,6.0,4,90,4,10,18,11,1.14,5,16,-11,-1.82,-1.73,7.4,12.5,-5.1,-0.85,-0.42,Matches
343,Brennan Johnson,wls,FW,Tottenham,22,2001,32,"2,085",65,61.0,23.2,23,79,8,9,31,0,1.56,49,37,+12,+0.52,+0.45,42.1,40.6,+1.5,+0.06,-0.16,Matches
344,Brennan Johnson,wls,"FW,MF",Nott'ham Forest,22,2001,3,237,79,6.9,2.6,3,79,0,0,,0,1.00,4,5,-1,-0.38,+0.10,2.9,2.8,+0.1,+0.03,+0.13,Matches
345,Joseph Johnson,eng,DF,Luton Town,17,2006,2,77,39,2.3,0.9,0,,0,2,39,17,0.00,2,5,-3,-3.51,-2.70,1.5,1.8,-0.3,-0.37,+0.58,Matches
346,Sam Johnstone,eng,GK,Crystal Palace,30,1993,20,"1,796",90,52.5,20.0,20,90,19,0,,4,1.05,21,27,-6,-0.30,-0.58,25.2,26.3,-1.1,-0.05,+0.07,Matches
347,Curtis Jones,eng,MF,Liverpool,22,2001,23,"1,167",51,34.1,13.0,14,70,4,9,20,4,1.96,31,17,+14,+1.08,-0.16,31.7,15.5,+16.2,+1.25,+0.22,Matches
348,Jorginho,it,MF,Arsenal,31,1991,24,921,38,26.9,10.2,10,78,3,14,10,13,2.42,25,11,+14,+1.37,-0.36,21.2,8.2,+13.0,+1.27,+0.01,Matches
349,Diogo Jota,pt,FW,Liverpool,26,1996,21,"1,145",55,33.5,12.7,14,71,3,7,22,1,2.29,34,10,+24,+1.89,+1.06,28.5,14.0,+14.5,+1.14,+0.05,Matches
350,Mads Juel Andersen,dk,DF,Luton Town,25,1997,8,400,50,11.7,4.4,4,78,2,4,22,4,1.13,2,6,-4,-0.90,-0.04,3.5,7.3,-3.8,-0.86,+0.08,Matches
