,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
380,Christopher Nkunku,fr,"FW,MF",Chelsea,25,1997,4.9,5,4,0,4,1,1,2,50.0,1,4,1,3,2,7,4,0,Matches
381,Rhys Norrington-Davies,wls,DF,Sheffield Utd,24,1999,1.2,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,2,0,Matches
382,Oliver Norwood,nir,MF,Sheffield Utd,32,1991,16.0,41,26,18,18,5,20,47,42.6,27,24,9,15,21,62,39,0,Matches
383,Matheus Nunes,pt,MF,Wolves,24,1998,2.0,3,1,3,0,0,2,6,33.3,4,0,0,0,6,9,1,0,Matches
384,Matheus Nunes,pt,MF,Manchester City,24,1998,7.3,10,4,1,7,2,5,16,31.3,11,7,1,6,1,11,8,1,Matches
385,Darwin Núñez,uy,FW,Liverpool,24,1999,22.7,22,12,2,10,10,11,23,47.8,12,18,6,12,3,25,9,0,Matches
386,Ethan Nwaneri,eng,FW,Arsenal,16,2007,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
387,Christian Nørgaard,dk,MF,Brentford,29,1994,27.8,81,50,42,31,8,32,87,36.8,55,48,6,42,54,135,50,0,Matches
388,Mark O'Mahony,ie,FW,Brighton,18,2005,0.7,1,0,1,0,0,1,2,50.0,1,2,1,1,0,1,1,0,Matches
389,Dara O'Shea,ie,DF,Burnley,24,1999,32.1,39,20,22,14,3,11,26,42.3,15,41,30,11,35,74,158,2,Matches
390,Michael Obafemi,ie,"FW,MF",Burnley,23,2000,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
391,Wilson Odobert,fr,"MF,FW",Burnley,18,2004,23.3,17,13,8,5,4,6,22,27.3,16,26,2,24,6,23,14,0,Matches
392,Odeluga Offiah,eng,DF,Brighton,20,2002,1.4,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,Matches
393,Chiedozie Ogbene,ie,"MF,DF",Luton Town,26,1997,22.2,17,10,10,7,0,12,22,54.5,10,14,3,11,7,24,34,2,Matches
394,Angelo Ogbonna,it,DF,West Ham,35,1988,7.1,11,5,9,2,0,6,7,85.7,1,13,10,3,3,14,29,0,Matches
395,Michael Olakigbe,eng,"DF,FW",Brentford,19,2004,0.7,3,0,2,1,0,2,4,50.0,2,7,0,7,1,4,0,1,Matches
396,Michael Olise,fr,"FW,MF",Crystal Palace,21,2001,14.2,19,10,7,10,2,8,24,33.3,16,21,0,21,11,30,9,0,Matches
397,Robin Olsen,se,GK,Aston Villa,33,1990,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
398,Andrew Omobamidele,ie,DF,Nott'ham Forest,21,2002,8.7,10,3,9,1,0,5,8,62.5,3,12,8,4,13,23,42,1,Matches
399,Amadou Onana,be,MF,Everton,21,2001,23.2,71,38,32,31,8,21,42,50.0,21,25,6,19,21,92,31,0,Matches
400,André Onana,cm,GK,Manchester Utd,27,1996,38.0,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,11,2,Matches
401,Ryan One,sct,FW,Sheffield Utd,17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
402,Tyler Onyango,eng,MF,Everton,20,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
403,Fred Onyedinma,eng,"DF,MF",Luton Town,26,1996,4.5,10,6,7,3,0,5,12,41.7,7,3,0,3,1,11,13,0,Matches
404,Frank Onyeka,ng,MF,Brentford,25,1998,12.9,37,24,9,23,5,16,29,55.2,13,15,7,8,23,60,17,0,Matches
405,Divock Origi,be,FW,Nott'ham Forest,28,1995,6.7,6,4,5,0,1,0,0,,0,6,0,6,2,8,4,0,Matches
406,Stefan Ortega,de,GK,Manchester City,30,1992,7.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches
407,Ben Osborn,eng,"DF,MF",Sheffield Utd,28,1994,15.2,22,9,11,9,2,8,17,47.1,9,18,2,16,8,30,30,0,Matches
408,Gabriel Osho,ng,DF,Luton Town,24,1998,20.5,41,22,21,19,1,16,27,59.3,11,37,20,17,31,72,92,0,Matches
409,William Osula,dk,FW,Sheffield Utd,19,2003,8.7,2,2,1,0,1,1,2,50.0,1,3,1,2,2,4,9,0,Matches
410,Dango Ouattara,bf,"FW,DF",Bournemouth,21,2002,13.7,45,27,22,11,12,19,34,55.9,15,18,3,15,22,67,35,0,Matches
411,David Ozoh,eng,"MF,DF",Crystal Palace,18,2005,1.7,10,6,3,6,1,5,6,83.3,1,2,0,2,0,10,2,0,Matches
412,João Palhinha,pt,MF,Fulham,28,1995,30.0,152,75,80,60,12,103,152,67.8,49,57,9,48,46,198,58,0,Matches
413,Cole Palmer,eng,"FW,MF",Chelsea,21,2002,29.0,23,12,9,6,8,8,19,42.1,11,20,2,18,20,43,13,2,Matches
414,Cole Palmer,eng,MF,Manchester City,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
415,Emerson Palmieri,it,DF,West Ham,28,1994,34.9,106,68,48,42,16,57,90,63.3,33,47,15,32,43,149,96,0,Matches
416,Lucas Paquetá,br,"FW,MF",West Ham,25,1997,29.1,71,48,38,26,7,25,52,48.1,27,28,1,27,21,92,28,2,Matches
417,Ben Parkinson,eng,FW,Newcastle Utd,18,2005,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
418,Thomas Partey,gh,"MF,DF",Arsenal,30,1993,8.8,14,11,9,4,1,5,10,50.0,5,9,3,6,11,25,9,0,Matches
419,Nathan Patterson,sct,DF,Everton,21,2001,11.2,34,24,21,11,2,14,37,37.8,23,14,3,11,9,43,33,0,Matches
420,Myles Peart-Harris,eng,"DF,MF",Brentford,20,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
421,Sydie Peck,eng,MF,Sheffield Utd,18,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
422,Facundo Pellistri,uy,"FW,MF",Manchester Utd,21,2001,1.9,5,3,4,1,0,1,3,33.3,2,7,1,6,1,6,5,0,Matches
423,Andreas Pereira,br,MF,Fulham,27,1996,29.0,25,12,4,12,9,11,41,26.8,30,16,2,14,4,29,12,0,Matches
424,Ivan Perišić,hr,FW,Tottenham,34,1989,1.1,3,2,1,1,1,3,5,60.0,2,1,0,1,2,5,1,0,Matches
425,Đorđe Petrović,rs,GK,Chelsea,23,1999,22.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,3,Matches
426,Kalvin Phillips,eng,MF,West Ham,27,1995,3.4,11,6,2,8,1,5,9,55.6,4,4,1,3,4,15,2,1,Matches
427,Kalvin Phillips,eng,MF,Manchester City,27,1995,1.0,3,3,1,1,1,0,0,,0,0,0,0,2,5,2,0,Matches
428,Jaden Philogene Bidace,eng,FW,Aston Villa,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
429,Jordan Pickford,eng,GK,Everton,29,1994,38.0,1,0,1,0,0,1,1,100.0,0,3,0,3,0,1,19,1,Matches
430,Ethan Pinnock,jm,DF,Brentford,30,1993,28.0,35,23,22,13,0,9,20,45.0,11,40,24,16,43,78,170,3,Matches
431,Nick Pope,eng,GK,Newcastle Utd,31,1992,14.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,2,Matches
432,Pedro Porro,es,DF,Tottenham,23,1999,34.3,91,63,43,34,14,62,120,51.7,58,63,18,45,34,125,102,3,Matches
433,Jarell Quansah,eng,DF,Liverpool,20,2003,13.2,25,22,17,7,1,14,20,70.0,6,16,8,8,17,42,39,1,Matches
434,Ionuț Radu,ro,GK,Bournemouth,26,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
435,Jesurun Rak Sakyi,eng,"MF,FW",Crystal Palace,20,2002,1.5,4,1,3,1,0,2,3,66.7,1,2,0,2,3,7,1,0,Matches
436,Aaron Ramsdale,eng,GK,Arsenal,25,1998,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
437,Aaron Ramsey,eng,"MF,FW",Burnley,20,2003,5.9,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0,Matches
438,Jacob Ramsey,eng,"FW,MF",Aston Villa,22,2001,9.5,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0,Matches
439,Marcus Rashford,eng,FW,Manchester Utd,25,1997,25.2,19,12,9,4,6,9,26,34.6,17,15,1,14,4,23,21,0,Matches
440,David Raya,es,GK,Arsenal,27,1995,32.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,5,Matches
441,Tim Ream,us,DF,Fulham,35,1987,16.7,20,9,13,5,2,9,18,50.0,9,23,15,8,25,45,61,2,Matches
442,Nathan Redmond,eng,"FW,MF",Burnley,29,1994,1.6,2,1,0,0,2,1,4,25.0,3,1,0,1,0,2,3,0,Matches
443,Harrison Reed,eng,MF,Fulham,28,1995,14.7,29,18,9,17,3,13,31,41.9,18,19,9,10,11,40,24,0,Matches
444,Sergio Reguilón,es,DF,Manchester Utd,26,1996,4.6,13,8,6,2,5,8,17,47.1,9,10,0,10,5,18,7,0,Matches
445,Sergio Reguilón,es,DF,Brentford,26,1996,12.4,45,20,26,18,1,24,40,60.0,16,23,6,17,16,61,41,1,Matches
446,Bobby Reid,jm,FW,Fulham,30,1993,15.8,22,14,5,15,2,4,16,25.0,12,24,2,22,5,27,14,0,Matches
447,Gio Reyna,us,"FW,MF",Nott'ham Forest,20,2002,2.6,7,3,4,0,3,3,6,50.0,3,3,0,3,2,9,0,0,Matches
448,Rodrigo Ribeiro,pt,"MF,FW",Nott'ham Forest,18,2005,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
449,Declan Rice,eng,MF,Arsenal,24,1999,35.8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0,Matches
450,Chris Richards,us,"DF,MF",Crystal Palace,23,2000,23.3,46,28,21,22,3,20,30,66.7,10,32,12,20,27,73,109,0,Matches
451,Richarlison,br,FW,Tottenham,26,1997,16.6,16,11,4,8,4,2,10,20.0,8,32,6,26,8,24,23,0,Matches
452,Jaïro Riedewald,nl,"MF,FW",Crystal Palace,26,1996,2.6,9,3,2,4,3,3,6,50.0,3,0,0,0,2,11,2,0,Matches
453,Matt Ritchie,sct,"FW,MF",Newcastle Utd,33,1989,1.4,5,3,2,2,1,2,4,50.0,2,3,2,1,1,6,5,0,Matches
454,Connor Roberts,wls,DF,Burnley,27,1995,9.1,12,5,6,4,2,8,17,47.1,9,8,6,2,4,16,25,2,Matches
455,Andrew Robertson,sct,DF,Liverpool,29,1994,18.8,35,24,21,11,3,26,43,60.5,17,20,6,14,13,48,40,0,Matches
456,Antonee Robinson,us,DF,Fulham,25,1997,36.3,93,58,60,26,7,52,110,47.3,58,56,8,48,80,173,117,3,Matches
457,Jack Robinson,eng,DF,Sheffield Utd,29,1993,32.1,43,28,29,14,0,25,39,64.1,14,49,33,16,33,76,132,2,Matches
458,Rodri,es,MF,Manchester City,27,1996,32.6,70,43,25,33,12,29,60,48.3,31,32,8,24,26,96,41,4,Matches
459,Jay Rodriguez,eng,FW,Burnley,34,1989,9.1,14,9,7,4,3,7,13,53.8,6,11,1,10,1,15,8,0,Matches
460,Mads Roerslev,dk,DF,Brentford,24,1999,22.1,48,31,34,9,5,27,54,50.0,27,15,3,12,19,67,71,0,Matches
461,Morgan Rogers,eng,"MF,FW",Aston Villa,21,2002,7.1,8,1,3,2,3,2,11,18.2,9,11,0,11,3,11,11,0,Matches
462,Cristian Romero,ar,DF,Tottenham,25,1998,31.0,66,40,35,25,6,32,44,72.7,12,46,22,24,44,110,106,1,Matches
463,Joe Rothwell,eng,MF,Bournemouth,28,1995,4.3,7,2,4,2,1,2,8,25.0,6,4,2,2,3,10,2,0,Matches
464,Pelly Ruddock Mpanzu,cd,MF,Luton Town,30,1993,12.2,13,5,6,6,1,5,9,55.6,4,15,7,8,9,22,16,3,Matches
465,José Sá,pt,GK,Wolves,30,1993,33.7,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,21,5,Matches
466,Dominic Sadi,eng,FW,Bournemouth,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
467,Bukayo Saka,eng,FW,Arsenal,21,2001,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1,Matches
468,Mohamed Salah,eg,FW,Liverpool,31,1992,28.2,17,11,1,8,8,6,21,28.6,15,19,1,18,2,19,1,0,Matches
469,William Saliba,fr,DF,Arsenal,22,2001,38.0,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3,Matches
470,Albert Sambi Lokonga,be,MF,Luton Town,23,1999,14.5,29,18,14,12,3,17,24,70.8,7,23,13,10,11,40,14,0,Matches
471,Davinson Sánchez,co,DF,Tottenham,27,1996,0.9,0,0,0,0,0,0,0,,0,3,2,1,1,1,2,0,Matches
472,Robert Sánchez,es,GK,Chelsea,25,1997,15.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,3,Matches
473,Jadon Sancho,eng,"FW,MF",Manchester Utd,23,2000,0.9,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0,Matches
474,Ibrahim Sangaré,ci,MF,Nott'ham Forest,25,1997,11.5,42,23,25,13,4,12,29,41.4,17,24,7,17,16,58,21,0,Matches
475,Andrey Santos,br,MF,Nott'ham Forest,19,2004,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
476,Pablo Sarabia,es,"MF,FW",Wolves,31,1992,19.4,20,13,8,8,4,12,36,33.3,24,17,1,16,10,30,9,0,Matches
477,Dane Scarlett,eng,FW,Tottenham,19,2004,0.2,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
478,Kevin Schade,de,"FW,MF",Brentford,21,2001,3.7,3,1,1,2,0,0,5,0.0,5,2,0,2,1,4,4,0,Matches
479,Fabian Schär,ch,DF,Newcastle Utd,31,1991,33.9,42,24,27,13,2,18,40,45.0,22,50,38,12,36,78,133,1,Matches
480,Jeffrey Schlupp,gh,"FW,MF",Crystal Palace,30,1992,15.0,38,24,14,16,8,9,18,50.0,9,13,2,11,8,46,24,0,Matches
481,Alex Scott,eng,MF,Bournemouth,19,2003,11.3,24,15,8,10,6,12,28,42.9,16,14,4,10,12,36,18,2,Matches
482,Matz Sels,be,GK,Nott'ham Forest,31,1992,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Matches
483,Nélson Semedo,pt,"DF,MF",Wolves,29,1993,34.3,79,48,52,19,8,38,64,59.4,26,44,8,36,36,115,85,1,Matches
484,Antoine Semenyo,gh,FW,Bournemouth,23,2000,23.4,24,17,7,9,8,9,27,33.3,18,39,2,37,6,30,21,0,Matches
485,Marcos Senesi,ar,DF,Bournemouth,26,1997,24.9,55,32,28,23,4,24,56,42.9,32,50,23,27,35,90,109,1,Matches
486,Luke Shaw,eng,DF,Manchester Utd,28,1995,10.7,11,8,7,3,1,9,15,60.0,6,18,11,7,6,17,39,0,Matches
487,James Shea,eng,GK,Luton Town,32,1991,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
488,Bernardo Silva,pt,"MF,FW",Manchester City,28,1994,28.6,51,23,13,25,13,25,57,43.9,32,32,4,28,17,68,15,1,Matches
489,Fábio Silva,pt,FW,Wolves,21,2002,2.9,7,4,3,4,0,2,3,66.7,1,1,0,1,2,9,0,0,Matches
490,Thiago Silva,br,DF,Chelsea,38,1984,28.1,29,15,22,6,1,20,34,58.8,14,33,24,9,26,55,153,4,Matches
491,Luis Sinisterra,co,"FW,MF",Bournemouth,24,1999,7.8,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0,Matches
492,Oliver Skipp,eng,"MF,DF",Tottenham,22,2000,7.9,18,12,9,6,3,11,18,61.1,7,12,1,11,3,21,9,0,Matches
493,Adam Smith,eng,DF,Bournemouth,32,1991,23.9,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,Matches
494,Emile Smith Rowe,eng,MF,Arsenal,23,2000,3.9,4,1,2,2,0,2,4,50.0,2,3,1,2,3,7,1,0,Matches
495,Cédric Soares,pt,DF,Arsenal,31,1991,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
496,Dominic Solanke,eng,FW,Bournemouth,25,1997,36.9,23,11,3,13,7,10,29,34.5,19,24,5,19,7,30,43,0,Matches
497,Manor Solomon,il,FW,Tottenham,24,1999,2.2,3,3,1,1,1,1,2,50.0,1,4,0,4,3,6,2,0,Matches
498,Tomáš Souček,cz,MF,West Ham,28,1995,31.9,53,35,24,26,3,21,47,44.7,26,55,28,27,37,90,109,0,Matches
499,Vinicius Souza,br,MF,Sheffield Utd,24,1999,29.6,125,76,59,51,15,41,74,55.4,33,57,17,40,32,157,75,1,Matches
500,Jason Steele,eng,GK,Brighton,32,1990,17.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,8,1,Matches
501,Raheem Sterling,eng,"FW,MF",Chelsea,28,1994,22.0,21,10,7,8,6,12,26,46.2,14,13,0,13,13,34,9,1,Matches
502,John Stones,eng,"DF,MF",Manchester City,29,1994,11.8,2,1,1,0,1,0,3,0.0,3,11,7,4,10,12,21,0,Matches
503,Thomas Strakosha,al,GK,Brentford,28,1995,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
504,Dominik Szoboszlai,hu,MF,Liverpool,22,2000,23.4,32,19,12,12,8,16,50,32.0,34,37,2,35,15,47,16,1,Matches
505,Matt Targett,eng,DF,Newcastle Utd,27,1995,0.9,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,2,0,Matches
506,James Tarkowski,eng,DF,Everton,30,1992,38.0,61,42,46,14,1,27,48,56.3,21,82,56,26,56,117,191,2,Matches
507,Jimi Tauriainen,eng,FW,Chelsea,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
508,Nuno Tavares,pt,DF,Nott'ham Forest,23,2000,5.1,11,7,9,1,1,8,9,88.9,1,6,0,6,1,12,21,0,Matches
509,Marcus Tavernier,eng,FW,Bournemouth,24,1999,23.5,53,34,25,22,6,26,48,54.2,22,31,3,28,5,58,23,0,Matches
510,Charlie Taylor,eng,DF,Burnley,29,1993,25.9,35,20,19,14,2,17,35,48.6,18,27,11,16,19,54,78,0,Matches
511,Kenny Tete,nl,DF,Fulham,27,1995,9.6,27,17,19,6,2,11,19,57.9,8,10,3,7,16,43,35,0,Matches
512,Luke Thomas,eng,DF,Sheffield Utd,22,2001,10.2,20,9,13,6,1,8,14,57.1,6,23,5,18,10,30,27,0,Matches
513,Youri Tielemans,be,"MF,FW",Aston Villa,26,1997,18.0,41,20,17,18,6,16,40,40.0,24,23,3,20,15,56,9,0,Matches
514,Jurriën Timber,nl,DF,Arsenal,22,2001,0.8,2,2,1,1,0,0,0,,0,1,0,1,0,2,1,0,Matches
515,Harry Toffolo,eng,DF,Nott'ham Forest,27,1995,16.2,26,14,20,6,0,15,24,62.5,9,34,13,21,14,40,49,0,Matches
516,Takehiro Tomiyasu,jp,DF,Arsenal,24,1998,12.8,20,9,15,4,1,11,18,61.1,7,10,4,6,18,38,33,0,Matches
517,James Tomkins,eng,DF,Crystal Palace,34,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
518,Sandro Tonali,it,MF,Newcastle Utd,23,2000,4.9,7,7,4,2,1,3,9,33.3,6,3,0,3,2,9,4,0,Matches
519,Ivan Toney,eng,FW,Brentford,27,1996,16.1,15,5,2,7,6,6,14,42.9,8,5,1,4,10,25,18,0,Matches
520,Pau Torres,es,DF,Aston Villa,26,1997,27.4,29,18,17,11,1,14,30,46.7,16,28,12,16,14,43,75,0,Matches
521,Andros Townsend,eng,"MF,FW",Luton Town,32,1991,13.4,21,13,11,2,8,13,27,48.1,14,12,0,12,5,26,10,0,Matches
522,James Trafford,eng,GK,Burnley,20,2002,28.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,18,1,Matches
523,Adama Traoré,es,"FW,MF",Fulham,27,1996,4.2,4,3,1,2,1,3,6,50.0,3,2,0,2,1,5,2,0,Matches
524,Bénie Traoré,ci,"FW,MF",Sheffield Utd,20,2002,4.3,4,2,1,2,1,0,4,0.0,4,4,1,3,1,5,1,0,Matches
525,Bertrand Traoré,bf,"DF,FW",Aston Villa,27,1995,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
526,Boubacar Traoré,ml,MF,Wolves,21,2001,9.1,35,23,16,17,2,9,21,42.9,12,12,2,10,5,40,7,0,Matches
527,Mark Travers,ie,GK,Bournemouth,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
528,Mike Trésor,be,"FW,MF",Burnley,24,1999,4.7,10,6,9,1,0,8,18,44.4,10,5,0,5,1,11,1,0,Matches
529,Kieran Trippier,eng,DF,Newcastle Utd,32,1990,24.8,57,27,30,16,11,37,77,48.1,40,41,8,33,24,81,57,3,Matches
530,Leandro Trossard,be,"FW,MF",Arsenal,28,1994,18.3,27,16,8,9,10,9,25,36.0,16,27,1,26,8,35,6,0,Matches
531,Auston Trusty,us,DF,Sheffield Utd,24,1998,28.6,47,30,31,13,3,21,43,48.8,22,41,22,19,35,82,153,3,Matches
532,Kostas Tsimikas,gr,DF,Liverpool,27,1996,7.5,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0,Matches
533,Matt Turner,us,GK,Nott'ham Forest,29,1994,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,4,Matches
534,Destiny Udogie,it,DF,Tottenham,20,2002,26.6,68,33,41,16,11,27,49,55.1,22,27,8,19,37,105,80,5,Matches
535,Lesley Ugochukwu,fr,MF,Chelsea,19,2004,3.3,14,10,4,8,2,4,10,40.0,6,6,2,4,1,15,5,0,Matches
536,Enes Ünal,tr,"FW,MF",Bournemouth,26,1997,3.6,6,4,2,3,1,2,5,40.0,3,4,2,2,1,7,6,0,Matches
537,Virgil van Dijk,nl,DF,Liverpool,32,1991,35.3,40,23,24,13,3,12,14,85.7,2,47,34,13,39,79,144,0,Matches
538,Raphaël Varane,fr,DF,Manchester Utd,30,1993,15.3,18,11,10,7,1,10,14,71.4,4,23,18,5,15,33,88,0,Matches
539,Alejo Véliz,ar,FW,Tottenham,19,2003,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
540,Joël Veltman,nl,DF,Brighton,31,1992,17.6,54,41,32,17,5,39,58,67.2,19,17,7,10,18,72,57,1,Matches
541,Micky van de Ven,nl,DF,Tottenham,22,2001,26.0,49,35,34,12,3,24,33,72.7,9,25,15,10,18,67,78,1,Matches
542,Bart Verbruggen,nl,GK,Brighton,20,2002,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,3,Matches
543,Guglielmo Vicario,it,GK,Tottenham,26,1996,38.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,31,2,Matches
544,Fabio Vieira,pt,"MF,FW",Arsenal,23,2000,3.3,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,2,0,Matches
545,Carlos Vinícius,br,FW,Fulham,28,1995,3.5,3,2,0,1,2,0,4,0.0,4,4,0,4,0,3,1,0,Matches
546,Vitinho,br,"DF,MF",Burnley,24,1999,25.7,64,34,36,22,6,43,86,50.0,43,44,6,38,12,76,47,4,Matches
547,Odisseas Vlachodimos,gr,GK,Nott'ham Forest,29,1994,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
548,Kyle Walker,eng,DF,Manchester City,33,1990,30.7,38,24,19,17,2,19,39,48.7,20,19,6,13,27,65,40,1,Matches
549,Aaron Wan-Bissaka,eng,DF,Manchester Utd,25,1997,19.8,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,Matches
550,Joel Ward,eng,DF,Crystal Palace,33,1989,22.0,45,28,26,18,1,30,47,63.8,17,17,10,7,14,59,94,1,Matches
551,James Ward-Prowse,eng,MF,West Ham,28,1994,33.3,45,29,14,23,8,18,44,40.9,26,31,9,22,38,83,49,0,Matches
552,Lewis Warrington,eng,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
553,Deivid Washington,br,"DF,FW",Chelsea,18,2005,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
554,Ollie Watkins,eng,FW,Aston Villa,27,1995,35.7,12,7,0,5,7,5,11,45.5,6,26,4,22,4,16,20,0,Matches
555,Adam Webster,eng,DF,Brighton,28,1995,12.7,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1,Matches
556,Danny Welbeck,eng,"FW,MF",Brighton,32,1990,18.8,35,17,9,17,9,10,17,58.8,7,12,0,12,9,44,17,1,Matches
557,Timo Werner,de,FW,Tottenham,27,1996,9.0,7,4,3,4,0,5,18,27.8,13,12,0,12,3,10,2,0,Matches
558,Adam Wharton,eng,MF,Crystal Palace,19,2004,14.4,48,32,18,22,8,23,46,50.0,23,17,3,14,20,68,24,1,Matches
559,Ethan Wheatley,eng,FW,Manchester Utd,17,2006,0.2,1,1,0,1,0,1,1,100.0,0,2,0,2,2,3,0,0,Matches
560,Ben White,eng,DF,Arsenal,25,1997,33.2,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1,Matches
561,Joe White,eng,MF,Newcastle Utd,20,2002,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
562,Neco Williams,wls,DF,Nott'ham Forest,22,2001,18.2,69,40,42,18,9,35,56,62.5,21,44,13,31,22,91,53,0,Matches
563,Willian,br,FW,Fulham,34,1988,22.8,18,11,6,7,5,3,21,14.3,18,13,0,13,9,27,12,1,Matches
564,Joe Willock,eng,MF,Newcastle Utd,23,1999,4.7,13,7,7,6,0,4,11,36.4,7,7,0,7,1,14,1,0,Matches
565,Callum Wilson,eng,FW,Newcastle Utd,31,1992,11.0,5,3,0,2,3,0,4,0.0,4,6,0,6,2,7,4,0,Matches
566,Harry Wilson,wls,FW,Fulham,26,1997,18.0,21,14,9,8,4,11,28,39.3,17,27,3,24,10,31,12,0,Matches
567,Yoane Wissa,cd,FW,Brentford,26,1996,27.7,28,16,13,10,5,5,20,25.0,15,24,3,21,9,37,15,0,Matches
568,Chris Wood,nz,FW,Nott'ham Forest,31,1991,20.1,7,4,1,4,2,3,9,33.3,6,11,3,8,1,8,26,0,Matches
569,Cauley Woodrow,eng,"FW,MF",Luton Town,28,1994,4.7,16,10,8,4,4,9,16,56.3,7,7,1,6,1,17,14,0,Matches
570,Joe Worrall,eng,DF,Nott'ham Forest,26,1997,4.9,7,5,6,1,0,3,6,50.0,3,5,4,1,3,10,32,1,Matches
571,Yehor Yarmoliuk,ua,MF,Brentford,19,2004,7.6,17,11,6,8,3,7,17,41.2,10,17,4,13,6,23,5,0,Matches
572,Ryan Yates,eng,MF,Nott'ham Forest,25,1997,22.1,66,39,39,21,6,19,34,55.9,15,42,15,27,21,87,44,1,Matches
573,Ashley Young,eng,"DF,MF",Everton,38,1985,25.3,53,38,28,19,6,30,54,55.6,24,24,6,18,22,75,50,3,Matches
574,Illia Zabarnyi,ua,DF,Bournemouth,20,2002,37.0,59,32,29,29,1,23,50,46.0,27,53,34,19,33,92,143,4,Matches
