,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
39,George Baldock,gr,DF,Sheffield Utd,30,1993,10.8,18,10,10,7,1,6,15,40.0,9,14,8,6,10,28,33,0,Matches
40,Carlos Baleba,cm,MF,Brighton,19,2004,14.7,40,20,17,19,4,23,46,50.0,23,35,7,28,18,58,30,3,Matches
41,Fodé Ballo-Touré,sn,"DF,MF",Fulham,26,1997,0.8,4,2,1,3,0,1,2,50.0,1,1,0,1,3,7,2,0,Matches
42,Shandon Baptiste,gd,MF,Brentford,25,1998,2.5,4,4,2,2,0,1,5,20.0,4,5,1,4,3,7,6,0,Matches
43,Valentín Barco,ar,"DF,FW",Brighton,19,2004,3.4,11,5,4,5,2,6,8,75.0,2,3,0,3,4,15,3,1,Matches
44,Ross Barkley,eng,MF,Luton Town,29,1993,29.1,47,19,16,21,10,11,48,22.9,37,25,9,16,25,72,51,2,Matches
45,Harvey Barnes,eng,"FW,MF",Newcastle Utd,25,1997,8.9,6,1,3,2,1,1,2,50.0,1,1,0,1,5,11,3,0,Matches
46,Chris Basham,eng,"DF,MF",Sheffield Utd,35,1988,3.6,7,2,4,3,0,2,9,22.2,7,9,4,5,5,12,17,0,Matches
47,Calvin Bassey,ng,DF,Fulham,23,1999,25.6,49,29,33,15,1,21,29,72.4,8,32,11,21,28,77,84,4,Matches
48,Owen Beck,wls,DF,Liverpool,20,2002,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,Matches
49,Donny van de Beek,nl,DF,Manchester Utd,26,1997,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
50,Amari'i Bell,jm,DF,Luton Town,29,1994,19.1,50,33,30,19,1,22,35,62.9,13,33,15,18,25,75,60,1,Matches
51,Jean-Ricner Bellegarde,fr,"MF,FW",Wolves,25,1998,10.6,17,10,9,6,2,7,15,46.7,8,18,2,16,8,25,14,0,Matches
52,Anis Ben Slimane,tn,MF,Sheffield Utd,22,2001,4.7,11,6,5,2,4,4,10,40.0,6,7,1,6,5,16,7,0,Matches
53,Saïd Benrahma,dz,"FW,MF",West Ham,27,1995,6.9,8,4,5,3,0,4,15,26.7,11,8,0,8,5,13,7,0,Matches
54,Rodrigo Bentancur,uy,MF,Tottenham,26,1997,11.2,23,15,10,11,2,10,24,41.7,14,15,4,11,17,40,16,1,Matches
55,Daniel Bentley,eng,GK,Wolves,30,1993,4.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
56,Jóhann Berg Guðmundsson,is,"MF,FW",Burnley,32,1990,13.2,13,4,6,5,2,7,16,43.8,9,14,0,14,16,29,16,0,Matches
57,Sander Berge,no,MF,Burnley,25,1998,33.4,76,46,35,36,5,34,58,58.6,24,49,20,29,23,99,60,2,Matches
58,Luke Berry,eng,"MF,DF",Luton Town,31,1992,3.6,7,2,2,4,1,2,3,66.7,1,6,1,5,0,7,3,0,Matches
59,Beto,gw,FW,Everton,25,1998,10.6,14,6,1,6,7,4,12,33.3,8,11,0,11,1,15,14,0,Matches
