,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
380,Christopher Nkunku,fr,"FW,MF",Chelsea,25,1997,4.9,0,0,0,8,7,3,4,2,4,0,0,0,12,10,6,62.5,Matches
381,Rhys Norrington-Davies,wls,DF,Sheffield Utd,24,1999,1.2,1,0,0,3,1,1,2,1,1,0,0,0,4,1,1,50.0,Matches
382,Oliver Norwood,nir,MF,Sheffield Utd,32,1991,16.0,8,0,0,15,9,0,52,21,26,0,1,0,98,14,16,46.7,Matches
383,Matheus Nunes,pt,MF,Wolves,24,1998,2.0,2,1,1,1,7,3,3,6,1,0,0,0,10,2,1,66.7,Matches
384,Matheus Nunes,pt,MF,Manchester City,24,1998,7.3,0,0,0,8,16,2,19,1,4,0,0,0,30,5,8,38.5,Matches
385,Darwin Núñez,uy,FW,Liverpool,24,1999,22.7,9,0,0,28,15,33,19,3,12,1,0,0,56,34,55,38.2,Matches
386,Ethan Nwaneri,eng,FW,Arsenal,16,2007,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches
387,Christian Nørgaard,dk,MF,Brentford,29,1994,27.8,8,0,0,41,32,1,22,54,50,0,0,0,216,40,46,46.5,Matches
388,Mark O'Mahony,ie,FW,Brighton,18,2005,0.7,1,0,0,1,0,0,0,0,0,0,0,0,2,1,3,25.0,Matches
389,Dara O'Shea,ie,DF,Burnley,24,1999,32.1,5,1,0,36,15,1,11,35,20,0,0,1,140,127,67,65.5,Matches
390,Michael Obafemi,ie,"FW,MF",Burnley,23,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
391,Wilson Odobert,fr,"MF,FW",Burnley,18,2004,23.3,3,0,0,9,19,1,35,6,13,0,0,0,94,8,15,34.8,Matches
392,Odeluga Offiah,eng,DF,Brighton,20,2002,1.4,0,0,0,2,2,0,3,1,0,0,0,0,4,1,1,50.0,Matches
393,Chiedozie Ogbene,ie,"MF,DF",Luton Town,26,1997,22.2,1,0,0,8,50,8,79,7,10,2,0,0,125,28,23,54.9,Matches
394,Angelo Ogbonna,it,DF,West Ham,35,1988,7.1,1,0,0,1,3,0,0,3,5,0,0,0,10,12,7,63.2,Matches
395,Michael Olakigbe,eng,"DF,FW",Brentford,19,2004,0.7,0,0,0,2,2,1,7,1,0,0,0,0,7,1,2,33.3,Matches
396,Michael Olise,fr,"FW,MF",Crystal Palace,21,2001,14.2,0,0,0,13,43,2,97,11,10,0,0,0,68,7,15,31.8,Matches
397,Robin Olsen,se,GK,Aston Villa,33,1990,4.5,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,100.0,Matches
398,Andrew Omobamidele,ie,DF,Nott'ham Forest,21,2002,8.7,2,0,0,6,3,0,0,13,3,0,0,1,21,7,10,41.2,Matches
399,Amadou Onana,be,MF,Everton,21,2001,23.2,5,0,0,37,45,1,3,21,38,0,1,0,160,52,18,74.3,Matches
400,André Onana,cm,GK,Manchester Utd,27,1996,38.0,5,0,0,1,4,0,0,0,0,0,1,0,44,14,2,87.5,Matches
401,Ryan One,sct,FW,Sheffield Utd,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
402,Tyler Onyango,eng,MF,Everton,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
403,Fred Onyedinma,eng,"DF,MF",Luton Town,26,1996,4.5,1,0,0,10,6,0,13,1,6,0,1,0,10,8,6,57.1,Matches
404,Frank Onyeka,ng,MF,Brentford,25,1998,12.9,8,0,0,24,31,4,16,23,24,0,0,0,73,10,23,30.3,Matches
405,Divock Origi,be,FW,Nott'ham Forest,28,1995,6.7,1,0,0,14,8,5,13,2,4,0,0,0,16,11,17,39.3,Matches
406,Stefan Ortega,de,GK,Manchester City,30,1992,7.1,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,100.0,Matches
407,Ben Osborn,eng,"DF,MF",Sheffield Utd,28,1994,15.2,3,0,0,8,9,1,47,8,9,0,0,1,80,6,22,21.4,Matches
408,Gabriel Osho,ng,DF,Luton Town,24,1998,20.5,3,0,0,23,14,1,3,31,22,0,0,0,103,36,36,50.0,Matches
409,William Osula,dk,FW,Sheffield Utd,19,2003,8.7,4,0,0,15,12,6,2,2,2,0,0,0,12,24,70,25.5,Matches
410,Dango Ouattara,bf,"FW,DF",Bournemouth,21,2002,13.7,3,0,0,15,17,4,36,22,27,0,0,0,69,35,32,52.2,Matches
411,David Ozoh,eng,"MF,DF",Crystal Palace,18,2005,1.7,1,0,0,2,0,0,0,0,6,0,0,0,8,3,5,37.5,Matches
412,João Palhinha,pt,MF,Fulham,28,1995,30.0,13,0,0,52,56,2,5,46,75,0,1,0,195,40,31,56.3,Matches
413,Cole Palmer,eng,"FW,MF",Chelsea,21,2002,29.0,7,0,0,23,26,6,81,20,12,1,0,0,105,1,4,20.0,Matches
414,Cole Palmer,eng,MF,Manchester City,21,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
415,Emerson Palmieri,it,DF,West Ham,28,1994,34.9,10,0,0,32,33,1,49,43,68,2,1,1,142,25,23,52.1,Matches
416,Lucas Paquetá,br,"FW,MF",West Ham,25,1997,29.1,10,0,0,47,66,5,35,21,48,0,0,0,194,59,59,50.0,Matches
417,Ben Parkinson,eng,FW,Newcastle Utd,18,2005,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,Matches
418,Thomas Partey,gh,"MF,DF",Arsenal,30,1993,8.8,3,0,0,10,6,0,2,11,11,0,0,0,56,7,8,46.7,Matches
419,Nathan Patterson,sct,DF,Everton,21,2001,11.2,4,0,0,18,5,1,32,9,24,0,0,0,60,7,10,41.2,Matches
420,Myles Peart-Harris,eng,"DF,MF",Brentford,20,2002,0.1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,5,0.0,Matches
421,Sydie Peck,eng,MF,Sheffield Utd,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
422,Facundo Pellistri,uy,"FW,MF",Manchester Utd,21,2001,1.9,0,0,0,4,6,0,4,1,3,0,0,0,11,6,4,60.0,Matches
423,Andreas Pereira,br,MF,Fulham,27,1996,29.0,6,0,0,22,27,3,220,4,12,0,0,0,99,13,36,26.5,Matches
424,Ivan Perišić,hr,FW,Tottenham,34,1989,1.1,2,0,0,2,1,0,13,2,2,0,0,0,3,5,0,100.0,Matches
425,Đorđe Petrović,rs,GK,Chelsea,23,1999,22.1,2,0,0,0,1,0,0,0,0,0,0,0,17,5,0,100.0,Matches
426,Kalvin Phillips,eng,MF,West Ham,27,1995,3.4,3,1,1,14,5,0,1,4,6,0,1,0,23,7,1,87.5,Matches
427,Kalvin Phillips,eng,MF,Manchester City,27,1995,1.0,0,0,0,3,2,0,2,2,3,0,0,0,8,0,0,,Matches
428,Jaden Philogene Bidace,eng,FW,Aston Villa,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
429,Jordan Pickford,eng,GK,Everton,29,1994,38.0,5,0,0,1,6,0,0,0,0,0,1,1,35,1,0,100.0,Matches
430,Ethan Pinnock,jm,DF,Brentford,30,1993,28.0,1,0,0,4,11,0,7,43,23,0,0,0,131,113,51,68.9,Matches
431,Nick Pope,eng,GK,Newcastle Utd,31,1992,14.9,1,0,0,0,3,0,0,0,0,0,0,0,13,3,1,75.0,Matches
432,Pedro Porro,es,DF,Tottenham,23,1999,34.3,3,0,0,37,27,1,198,34,63,0,1,0,199,15,14,51.7,Matches
433,Jarell Quansah,eng,DF,Liverpool,20,2003,13.2,1,0,0,10,2,0,0,17,22,0,1,0,72,45,22,67.2,Matches
434,Ionuț Radu,ro,GK,Bournemouth,26,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
435,Jesurun Rak Sakyi,eng,"MF,FW",Crystal Palace,20,2002,1.5,0,0,0,1,5,0,3,3,1,0,0,0,6,2,1,66.7,Matches
436,Aaron Ramsdale,eng,GK,Arsenal,25,1998,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,Matches
437,Aaron Ramsey,eng,"MF,FW",Burnley,20,2003,5.9,1,0,0,7,3,1,2,1,14,0,1,0,24,4,5,44.4,Matches
438,Jacob Ramsey,eng,"FW,MF",Aston Villa,22,2001,9.5,2,0,0,7,12,0,11,3,8,0,0,0,42,5,3,62.5,Matches
439,Marcus Rashford,eng,FW,Manchester Utd,25,1997,25.2,2,0,0,13,21,12,35,4,12,1,0,0,81,15,26,36.6,Matches
440,David Raya,es,GK,Arsenal,27,1995,32.0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3,Matches
441,Tim Ream,us,DF,Fulham,35,1987,16.7,4,1,1,8,6,1,1,25,9,0,2,0,79,25,19,56.8,Matches
442,Nathan Redmond,eng,"FW,MF",Burnley,29,1994,1.6,1,0,0,4,2,2,3,0,1,0,0,0,6,1,1,50.0,Matches
443,Harrison Reed,eng,MF,Fulham,28,1995,14.7,6,0,0,26,10,0,19,11,18,0,0,0,72,9,13,40.9,Matches
444,Sergio Reguilón,es,DF,Manchester Utd,26,1996,4.6,3,0,0,4,11,3,29,5,8,0,0,0,21,5,9,35.7,Matches
445,Sergio Reguilón,es,DF,Brentford,26,1996,12.4,4,1,0,10,15,1,72,16,20,0,1,0,75,14,20,41.2,Matches
446,Bobby Reid,jm,FW,Fulham,30,1993,15.8,4,0,0,16,25,4,35,5,14,0,0,0,60,13,24,35.1,Matches
447,Gio Reyna,us,"FW,MF",Nott'ham Forest,20,2002,2.6,0,0,0,3,2,0,8,2,3,0,0,0,14,7,9,43.8,Matches
448,Rodrigo Ribeiro,pt,"MF,FW",Nott'ham Forest,18,2005,0.2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,66.7,Matches
449,Declan Rice,eng,MF,Arsenal,24,1999,35.8,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6,Matches
450,Chris Richards,us,"DF,MF",Crystal Palace,23,2000,23.3,3,0,0,12,7,1,1,27,28,0,1,0,88,61,44,58.1,Matches
451,Richarlison,br,FW,Tottenham,26,1997,16.6,3,0,0,20,30,12,14,8,11,0,0,0,42,25,57,30.5,Matches
452,Jaïro Riedewald,nl,"MF,FW",Crystal Palace,26,1996,2.6,0,0,0,3,2,0,3,2,3,0,0,0,14,3,1,75.0,Matches
453,Matt Ritchie,sct,"FW,MF",Newcastle Utd,33,1989,1.4,1,0,0,2,1,0,7,1,3,0,0,0,5,0,3,0.0,Matches
454,Connor Roberts,wls,DF,Burnley,27,1995,9.1,5,1,1,5,9,3,10,4,5,0,0,0,40,6,7,46.2,Matches
455,Andrew Robertson,sct,DF,Liverpool,29,1994,18.8,2,0,0,9,5,3,184,13,24,0,0,0,104,14,12,53.8,Matches
456,Antonee Robinson,us,DF,Fulham,25,1997,36.3,6,0,0,34,20,3,132,80,58,0,0,2,227,42,27,60.9,Matches
457,Jack Robinson,eng,DF,Sheffield Utd,29,1993,32.1,10,0,0,19,16,1,12,33,28,0,0,2,135,69,45,60.5,Matches
458,Rodri,es,MF,Manchester City,27,1996,32.6,8,1,0,41,35,6,12,26,43,1,0,0,235,54,22,71.1,Matches
459,Jay Rodriguez,eng,FW,Burnley,34,1989,9.1,0,0,0,18,6,7,1,1,9,0,0,0,25,21,38,35.6,Matches
460,Mads Roerslev,dk,DF,Brentford,24,1999,22.1,1,0,0,10,15,3,62,19,31,0,0,0,82,14,27,34.1,Matches
461,Morgan Rogers,eng,"MF,FW",Aston Villa,21,2002,7.1,3,0,0,12,9,0,2,3,1,0,0,0,31,7,8,46.7,Matches
462,Cristian Romero,ar,DF,Tottenham,25,1998,31.0,7,1,0,31,24,1,3,44,40,0,2,1,189,87,39,69.0,Matches
463,Joe Rothwell,eng,MF,Bournemouth,28,1995,4.3,0,0,0,4,2,0,12,3,2,0,1,0,32,0,2,0.0,Matches
464,Pelly Ruddock Mpanzu,cd,MF,Luton Town,30,1993,12.2,1,0,0,9,14,0,11,9,5,0,0,0,54,12,19,38.7,Matches
465,José Sá,pt,GK,Wolves,30,1993,33.7,1,0,0,0,9,0,0,0,0,0,0,0,29,10,0,100.0,Matches
466,Dominic Sadi,eng,FW,Bournemouth,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
467,Bukayo Saka,eng,FW,Arsenal,21,2001,32.4,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39.0,Matches
468,Mohamed Salah,eg,FW,Liverpool,31,1992,28.2,2,0,0,12,26,17,41,2,11,1,0,0,84,6,14,30.0,Matches
469,William Saliba,fr,DF,Arsenal,22,2001,38.0,4,0,0,22,16,0,3,29,26,0,1,0,213,72,49,59.5,Matches
470,Albert Sambi Lokonga,be,MF,Luton Town,23,1999,14.5,4,0,0,18,27,0,13,11,18,0,0,0,64,15,9,62.5,Matches
471,Davinson Sánchez,co,DF,Tottenham,27,1996,0.9,1,0,0,2,1,0,0,1,0,0,0,0,4,3,1,75.0,Matches
472,Robert Sánchez,es,GK,Chelsea,25,1997,15.9,2,0,0,0,1,0,0,0,0,0,0,0,20,3,0,100.0,Matches
473,Jadon Sancho,eng,"FW,MF",Manchester Utd,23,2000,0.9,0,0,0,0,2,1,1,1,0,0,0,0,10,0,3,0.0,Matches
474,Ibrahim Sangaré,ci,MF,Nott'ham Forest,25,1997,11.5,6,0,0,22,9,2,2,16,23,0,0,0,70,8,16,33.3,Matches
475,Andrey Santos,br,MF,Nott'ham Forest,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
476,Pablo Sarabia,es,"MF,FW",Wolves,31,1992,19.4,5,0,0,21,25,9,131,10,13,0,0,0,90,7,21,25.0,Matches
477,Dane Scarlett,eng,FW,Tottenham,19,2004,0.2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0.0,Matches
478,Kevin Schade,de,"FW,MF",Brentford,21,2001,3.7,0,0,0,10,6,2,5,1,1,0,0,0,23,17,14,54.8,Matches
479,Fabian Schär,ch,DF,Newcastle Utd,31,1991,33.9,5,0,0,38,26,0,8,36,24,2,0,0,174,69,70,49.6,Matches
480,Jeffrey Schlupp,gh,"FW,MF",Crystal Palace,30,1992,15.0,1,0,0,24,15,0,10,8,24,0,0,0,54,22,17,56.4,Matches
481,Alex Scott,eng,MF,Bournemouth,19,2003,11.3,3,0,0,20,25,1,36,12,15,0,0,0,63,14,22,38.9,Matches
482,Matz Sels,be,GK,Nott'ham Forest,31,1992,16.0,1,0,0,0,3,0,0,0,0,0,0,0,4,3,0,100.0,Matches
483,Nélson Semedo,pt,"DF,MF",Wolves,29,1993,34.3,10,1,0,48,30,1,80,36,48,0,2,0,188,22,27,44.9,Matches
484,Antoine Semenyo,gh,FW,Bournemouth,23,2000,23.4,6,0,0,43,24,3,45,6,17,1,0,0,111,52,81,39.1,Matches
485,Marcos Senesi,ar,DF,Bournemouth,26,1997,24.9,13,0,0,41,11,0,25,35,32,0,0,0,164,37,40,48.1,Matches
486,Luke Shaw,eng,DF,Manchester Utd,28,1995,10.7,6,0,0,14,3,0,33,6,8,0,0,0,59,13,10,56.5,Matches
487,James Shea,eng,GK,Luton Town,32,1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
488,Bernardo Silva,pt,"MF,FW",Manchester City,28,1994,28.6,8,0,0,22,26,3,83,17,23,0,0,0,102,2,9,18.2,Matches
489,Fábio Silva,pt,FW,Wolves,21,2002,2.9,2,0,0,8,4,5,0,2,4,0,1,0,15,2,5,28.6,Matches
490,Thiago Silva,br,DF,Chelsea,38,1984,28.1,4,0,0,10,8,1,4,26,15,0,0,0,140,51,26,66.2,Matches
491,Luis Sinisterra,co,"FW,MF",Bournemouth,24,1999,7.8,0,0,0,11,6,4,11,8,12,0,0,0,47,16,20,44.4,Matches
492,Oliver Skipp,eng,"MF,DF",Tottenham,22,2000,7.9,3,0,0,8,12,0,1,3,12,0,0,0,36,3,10,23.1,Matches
493,Adam Smith,eng,DF,Bournemouth,32,1991,23.9,6,0,0,30,22,1,39,21,23,0,2,0,92,18,22,45.0,Matches
494,Emile Smith Rowe,eng,MF,Arsenal,23,2000,3.9,0,0,0,5,2,0,1,3,1,0,0,0,15,3,5,37.5,Matches
495,Cédric Soares,pt,DF,Arsenal,31,1991,0.7,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0.0,Matches
496,Dominic Solanke,eng,FW,Bournemouth,25,1997,36.9,3,0,0,42,45,16,6,7,11,1,0,0,97,97,135,41.8,Matches
497,Manor Solomon,il,FW,Tottenham,24,1999,2.2,1,0,0,2,1,1,5,3,3,0,0,0,11,0,1,0.0,Matches
498,Tomáš Souček,cz,MF,West Ham,28,1995,31.9,7,0,0,41,24,10,6,37,35,0,1,0,151,108,78,58.1,Matches
499,Vinicius Souza,br,MF,Sheffield Utd,24,1999,29.6,3,0,0,48,14,2,10,32,76,0,1,0,153,64,38,62.7,Matches
500,Jason Steele,eng,GK,Brighton,32,1990,17.0,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,100.0,Matches
501,Raheem Sterling,eng,"FW,MF",Chelsea,28,1994,22.0,7,0,0,34,41,10,59,13,10,3,0,0,92,2,14,12.5,Matches
502,John Stones,eng,"DF,MF",Manchester City,29,1994,11.8,2,0,0,4,5,0,5,10,1,0,0,0,46,14,5,73.7,Matches
503,Thomas Strakosha,al,GK,Brentford,28,1995,1.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
504,Dominik Szoboszlai,hu,MF,Liverpool,22,2000,23.4,1,0,0,29,29,3,113,15,19,2,0,0,171,12,20,37.5,Matches
505,Matt Targett,eng,DF,Newcastle Utd,27,1995,0.9,1,0,0,0,2,0,0,0,0,0,0,0,5,0,3,0.0,Matches
506,James Tarkowski,eng,DF,Everton,30,1992,38.0,11,0,0,45,25,1,6,56,42,0,1,0,186,140,61,69.7,Matches
507,Jimi Tauriainen,eng,FW,Chelsea,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
508,Nuno Tavares,pt,DF,Nott'ham Forest,23,2000,5.1,2,0,0,8,2,0,16,1,7,0,0,0,33,3,2,60.0,Matches
509,Marcus Tavernier,eng,FW,Bournemouth,24,1999,23.5,3,0,0,20,22,3,116,5,34,0,0,0,142,13,31,29.5,Matches
510,Charlie Taylor,eng,DF,Burnley,29,1993,25.9,8,0,0,20,16,2,71,19,20,0,0,0,106,41,38,51.9,Matches
511,Kenny Tete,nl,DF,Fulham,27,1995,9.6,2,0,0,16,12,0,23,16,17,0,1,0,45,5,5,50.0,Matches
512,Luke Thomas,eng,DF,Sheffield Utd,22,2001,10.2,3,0,0,10,13,0,13,10,9,0,0,0,39,10,15,40.0,Matches
513,Youri Tielemans,be,"MF,FW",Aston Villa,26,1997,18.0,3,0,0,22,29,0,31,15,20,0,0,0,97,13,9,59.1,Matches
514,Jurriën Timber,nl,DF,Arsenal,22,2001,0.8,2,0,0,3,0,1,1,0,2,0,0,0,4,1,1,50.0,Matches
515,Harry Toffolo,eng,DF,Nott'ham Forest,27,1995,16.2,3,0,0,17,2,0,47,14,14,0,0,0,57,25,15,62.5,Matches
516,Takehiro Tomiyasu,jp,DF,Arsenal,24,1998,12.8,2,1,1,14,8,1,14,18,9,0,0,0,54,25,20,55.6,Matches
517,James Tomkins,eng,DF,Crystal Palace,34,1989,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,100.0,Matches
518,Sandro Tonali,it,MF,Newcastle Utd,23,2000,4.9,2,0,0,9,6,0,11,2,7,0,0,0,20,1,0,100.0,Matches
519,Ivan Toney,eng,FW,Brentford,27,1996,16.1,5,0,0,24,29,7,22,10,5,0,0,0,56,54,61,47.0,Matches
520,Pau Torres,es,DF,Aston Villa,26,1997,27.4,1,0,0,18,10,2,8,14,18,0,0,0,127,23,22,51.1,Matches
521,Andros Townsend,eng,"MF,FW",Luton Town,32,1991,13.4,1,0,0,13,12,2,74,5,13,0,0,0,68,0,10,0.0,Matches
522,James Trafford,eng,GK,Burnley,20,2002,28.0,2,0,0,0,5,0,0,1,1,0,0,0,40,14,3,82.4,Matches
523,Adama Traoré,es,"FW,MF",Fulham,27,1996,4.2,2,0,0,5,4,0,26,1,3,0,0,0,13,9,6,60.0,Matches
524,Bénie Traoré,ci,"FW,MF",Sheffield Utd,20,2002,4.3,0,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10.0,Matches
525,Bertrand Traoré,bf,"DF,FW",Aston Villa,27,1995,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
526,Boubacar Traoré,ml,MF,Wolves,21,2001,9.1,4,0,0,23,4,1,6,5,23,0,0,0,62,6,16,27.3,Matches
527,Mark Travers,ie,GK,Bournemouth,24,1999,4.0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,100.0,Matches
528,Mike Trésor,be,"FW,MF",Burnley,24,1999,4.7,0,0,0,0,3,2,32,1,6,0,0,0,28,1,9,10.0,Matches
529,Kieran Trippier,eng,DF,Newcastle Utd,32,1990,24.8,5,0,0,27,21,3,212,24,27,0,0,0,162,31,17,64.6,Matches
530,Leandro Trossard,be,"FW,MF",Arsenal,28,1994,18.3,2,0,0,15,20,9,57,8,16,1,0,0,88,5,10,33.3,Matches
531,Auston Trusty,us,DF,Sheffield Utd,24,1998,28.6,4,0,0,23,13,3,5,35,30,0,1,0,89,61,49,55.5,Matches
532,Kostas Tsimikas,gr,DF,Liverpool,27,1996,7.5,0,0,0,11,7,1,72,6,13,0,0,0,43,3,13,18.8,Matches
533,Matt Turner,us,GK,Nott'ham Forest,29,1994,17.0,2,0,0,0,3,0,0,0,0,0,0,0,11,4,0,100.0,Matches
534,Destiny Udogie,it,DF,Tottenham,20,2002,26.6,7,1,1,51,36,3,22,37,33,0,0,0,169,22,26,45.8,Matches
535,Lesley Ugochukwu,fr,MF,Chelsea,19,2004,3.3,2,0,0,4,2,0,0,1,10,0,0,0,12,9,2,81.8,Matches
536,Enes Ünal,tr,"FW,MF",Bournemouth,26,1997,3.6,1,0,0,10,9,6,3,1,4,0,0,0,10,8,11,42.1,Matches
537,Virgil van Dijk,nl,DF,Liverpool,32,1991,35.3,3,1,0,23,13,1,0,39,23,0,0,0,170,140,32,81.4,Matches
538,Raphaël Varane,fr,DF,Manchester Utd,30,1993,15.3,2,0,0,8,3,2,0,15,11,0,0,0,67,21,5,80.8,Matches
539,Alejo Véliz,ar,FW,Tottenham,19,2003,0.6,1,0,0,0,1,3,0,0,0,0,0,0,0,1,2,33.3,Matches
540,Joël Veltman,nl,DF,Brighton,31,1992,17.6,4,0,0,17,42,1,11,18,41,0,0,0,76,28,21,57.1,Matches
541,Micky van de Ven,nl,DF,Tottenham,22,2001,26.0,5,0,0,13,17,1,3,18,35,0,1,0,144,38,41,48.1,Matches
542,Bart Verbruggen,nl,GK,Brighton,20,2002,21.0,3,0,0,1,2,0,0,0,1,0,0,0,33,5,0,100.0,Matches
543,Guglielmo Vicario,it,GK,Tottenham,26,1996,38.0,2,0,0,0,8,0,0,1,0,0,0,0,61,21,1,95.5,Matches
544,Fabio Vieira,pt,"MF,FW",Arsenal,23,2000,3.3,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100.0,Matches
545,Carlos Vinícius,br,FW,Fulham,28,1995,3.5,2,0,0,4,2,6,1,0,2,0,0,0,9,4,11,26.7,Matches
546,Vitinho,br,"DF,MF",Burnley,24,1999,25.7,1,0,0,27,28,6,56,12,34,1,2,0,109,19,22,46.3,Matches
547,Odisseas Vlachodimos,gr,GK,Nott'ham Forest,29,1994,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches
548,Kyle Walker,eng,DF,Manchester City,33,1990,30.7,2,0,0,23,18,7,59,27,24,0,0,0,152,25,15,62.5,Matches
549,Aaron Wan-Bissaka,eng,DF,Manchester Utd,25,1997,19.8,4,0,0,17,9,0,14,41,25,0,1,0,94,21,19,52.5,Matches
550,Joel Ward,eng,DF,Crystal Palace,33,1989,22.0,4,0,0,22,6,0,22,14,28,0,0,1,94,46,48,48.9,Matches
551,James Ward-Prowse,eng,MF,West Ham,28,1994,33.3,4,0,0,24,20,0,189,38,29,0,0,0,145,26,33,44.1,Matches
552,Lewis Warrington,eng,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
553,Deivid Washington,br,"DF,FW",Chelsea,18,2005,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
554,Ollie Watkins,eng,FW,Aston Villa,27,1995,35.7,4,0,0,22,41,16,13,4,7,2,0,0,64,49,80,38.0,Matches
555,Adam Webster,eng,DF,Brighton,28,1995,12.7,2,0,0,9,3,0,1,16,12,0,0,1,63,33,13,71.7,Matches
556,Danny Welbeck,eng,"FW,MF",Brighton,32,1990,18.8,4,0,0,12,21,9,3,9,17,2,0,0,42,16,22,42.1,Matches
557,Timo Werner,de,FW,Tottenham,27,1996,9.0,1,0,0,3,5,12,28,3,4,0,0,0,27,1,2,33.3,Matches
558,Adam Wharton,eng,MF,Crystal Palace,19,2004,14.4,2,0,0,18,21,0,25,20,32,0,0,0,76,7,12,36.8,Matches
559,Ethan Wheatley,eng,FW,Manchester Utd,17,2006,0.2,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,,Matches
560,Ben White,eng,DF,Arsenal,25,1997,33.2,8,0,0,19,12,11,57,32,28,0,0,0,120,36,22,62.1,Matches
561,Joe White,eng,MF,Newcastle Utd,20,2002,0.1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0.0,Matches
562,Neco Williams,wls,DF,Nott'ham Forest,22,2001,18.2,4,0,0,23,30,4,68,22,40,0,0,0,107,31,20,60.8,Matches
563,Willian,br,FW,Fulham,34,1988,22.8,1,0,0,9,30,1,75,9,11,0,0,0,99,9,15,37.5,Matches
564,Joe Willock,eng,MF,Newcastle Utd,23,1999,4.7,0,0,0,3,3,1,6,1,7,0,0,0,26,1,1,50.0,Matches
565,Callum Wilson,eng,FW,Newcastle Utd,31,1992,11.0,3,0,0,16,17,4,3,2,3,0,0,0,17,9,16,36.0,Matches
566,Harry Wilson,wls,FW,Fulham,26,1997,18.0,6,0,0,21,40,5,42,10,14,1,0,0,78,5,6,45.5,Matches
567,Yoane Wissa,cd,FW,Brentford,26,1996,27.7,7,0,0,38,51,20,21,9,16,1,0,0,99,38,47,44.7,Matches
568,Chris Wood,nz,FW,Nott'ham Forest,31,1991,20.1,0,0,0,22,13,7,2,1,4,0,1,0,46,72,96,42.9,Matches
569,Cauley Woodrow,eng,"FW,MF",Luton Town,28,1994,4.7,2,0,0,8,4,2,10,1,10,0,0,0,21,10,16,38.5,Matches
570,Joe Worrall,eng,DF,Nott'ham Forest,26,1997,4.9,0,1,0,3,2,0,0,3,5,0,0,0,18,12,10,54.5,Matches
571,Yehor Yarmoliuk,ua,MF,Brentford,19,2004,7.6,2,0,0,12,6,1,14,6,11,0,0,0,50,9,10,47.4,Matches
572,Ryan Yates,eng,MF,Nott'ham Forest,25,1997,22.1,6,0,0,54,57,2,6,21,39,0,0,0,110,41,36,53.2,Matches
573,Ashley Young,eng,"DF,MF",Everton,38,1985,25.3,7,1,1,33,24,1,100,22,38,1,1,1,120,19,32,37.3,Matches
574,Illia Zabarnyi,ua,DF,Bournemouth,20,2002,37.0,5,0,0,24,24,0,1,33,32,0,0,0,153,75,60,55.6,Matches
