,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
64,Oscar Bobb,no,"FW,MF",Manchester City,20,2003,3.4,0,0,0,2,3,0,5,5,3,0,0,0,17,1,2,33.3,Matches
65,Jayden Bogle,eng,DF,Sheffield Utd,23,2000,31.0,9,0,0,38,22,4,40,32,36,0,0,1,139,50,28,64.1,Matches
66,Willy Boly,ci,DF,Nott'ham Forest,32,1991,16.0,3,1,1,20,2,1,1,25,29,0,0,0,86,57,26,68.7,Matches
67,Sven Botman,nl,DF,Newcastle Utd,23,2000,15.3,2,0,0,9,2,1,0,9,13,0,1,1,70,34,17,66.7,Matches
68,Jarrod Bowen,eng,FW,West Ham,26,1996,33.5,2,0,0,28,42,20,75,19,28,0,0,0,118,33,70,32.0,Matches
69,Conor Bradley,nir,DF,Liverpool,20,2003,8.4,2,0,0,8,12,2,18,10,25,0,0,1,50,11,5,68.8,Matches
70,Jarrad Branthwaite,eng,DF,Everton,21,2002,34.6,8,0,0,25,19,5,1,50,32,1,1,0,181,94,43,68.6,Matches
71,Ben Brereton,cl,"FW,MF",Sheffield Utd,24,1999,12.3,3,0,0,11,19,11,9,3,4,1,0,0,39,7,23,23.3,Matches
72,Rhian Brewster,eng,"FW,MF",Sheffield Utd,23,2000,3.8,0,1,0,5,5,1,3,1,1,0,0,0,9,4,19,17.4,Matches
73,Armando Broja,al,FW,Chelsea,21,2001,5.0,0,0,0,4,8,6,1,0,0,1,0,0,13,4,14,22.2,Matches
74,Armando Broja,al,FW,Fulham,21,2001,1.0,0,0,0,5,3,0,1,0,0,0,0,0,3,6,9,40.0,Matches
75,Andre Brooks,eng,"MF,DF",Sheffield Utd,19,2003,10.4,1,0,0,11,9,0,8,14,13,0,0,0,45,11,14,44.0,Matches
76,David Brooks,wls,"FW,MF",Bournemouth,26,1997,3.1,1,0,0,6,1,1,15,2,4,0,0,0,17,1,6,14.3,Matches
77,Jacob Brown,sct,"MF,FW",Luton Town,25,1998,11.3,4,0,0,19,19,6,10,8,12,0,0,0,56,43,54,44.3,Matches
78,Josh Brownhill,eng,MF,Burnley,27,1995,25.0,4,1,0,38,24,2,57,34,35,0,1,0,124,34,33,50.7,Matches
